athens : greece = baghdad : iraq -> ['baghdad', 'greece', 'syria', 'afghanistan', 'libya']
london : england = moscow : russia -> ['england', 'moscow', 'russia', 'kiev', 'novgorod']
london : england = oslo : norway -> ['oslo', 'england', 'sweden', 'norway', 'denmark']
london : england = ottawa : canada -> ['ottawa', 'england', 'ontario', 'denmark', 'manitoba']
london : england = paris : france -> ['england', 'paris', 'italy', 'france', 'provence']
london : england = rome : italy -> ['rome', 'england', 'egypt', 'assyria', 'carthage']
london : england = stockholm : sweden -> ['england', 'stockholm', 'sweden', 'denmark', 'norway']
london : england = tehran : iran -> ['england', 'tehran', 'iran', 'tabriz', 'tunisia']
london : england = tokyo : japan -> ['england', 'tokyo', 'kyūshū', 'sweden', 'norway']
london : england = athens : greece -> ['athens', 'england', 'sparta', 'denmark', 'greece']
london : england = baghdad : iraq -> ['baghdad', 'england', 'mosul', 'chechnya', 'ifriqiya']
london : england = bangkok : thailand -> ['bangkok', 'england', 'thailand', 'tunisia', 'swaziland']
london : england = beijing : china -> ['beijing', 'england', 'china', 'shandong', 'ethiopia']
london : england = berlin : germany -> ['england', 'berlin', 'sweden', 'switzerland', 'germany']
london : england = bern : switzerland -> ['bern', 'england', 'denmark-norway', 'swabia', 'guelders']
london : england = cairo : egypt -> ['england', 'cairo', 'egypt', 'numidia', 'phoenicia']
london : england = canberra : australia -> ['england', 'canberra', 'tasmania', 'fiji', 'toowoomba']
london : england = hanoi : vietnam -> ['england', 'hanoi', 'tunisia', 'numidia', 'moldavia']
london : england = havana : cuba -> ['havana', 'england', 'surinam', 'jamaica', 'curaçao']
london : england = helsinki : finland -> ['england', 'helsinki', 'sweden', 'denmark', 'norway']
london : england = islamabad : pakistan -> ['islamabad', 'england', 'pakistan', 'turkmenistan', 'quetta']
london : england = kabul : afghanistan -> ['kabul', 'sistan', 'england', 'mosul', 'herat']
madrid : spain = moscow : russia -> ['spain', 'moscow', 'russia', 'bulgaria', 'hungary']
madrid : spain = oslo : norway -> ['oslo', 'spain', 'sweden', 'fennoscandia', 'denmark']
madrid : spain = ottawa : canada -> ['ottawa', 'spain', 'winnipeg', 'denmark', 'mississauga']
madrid : spain = paris : france -> ['spain', 'paris', 'italy', 'france', 'morocco']
madrid : spain = rome : italy -> ['rome', 'spain', 'egypt', 'persia', 'italy']
madrid : spain = stockholm : sweden -> ['spain', 'stockholm', 'sweden', 'denmark', 'fennoscandia']
madrid : spain = tehran : iran -> ['spain', 'tehran', 'arabia', 'morocco', 'syria']
madrid : spain = tokyo : japan -> ['tokyo', 'spain', 'japan', 'italy', 'hokkaidō']
madrid : spain = athens : greece -> ['athens', 'spain', 'greece', 'denmark', 'assyria']
madrid : spain = baghdad : iraq -> ['baghdad', 'syria', 'spain', 'persia', 'babylonia']
madrid : spain = bangkok : thailand -> ['bangkok', 'spain', 'cambodia', 'thailand', 'morocco']
madrid : spain = beijing : china -> ['beijing', 'spain', 'china', 'mongolia', 'italy']
madrid : spain = berlin : germany -> ['spain', 'berlin', 'germany', 'italy', 'sweden']
madrid : spain = bern : switzerland -> ['spain', 'bern', 'denmark-norway', 'brandenburg-prussia', 'hungary']
madrid : spain = cairo : egypt -> ['spain', 'cairo', 'morocco', 'persia', 'egypt']
madrid : spain = canberra : australia -> ['canberra', 'spain', 'tasmania', 'australia', 'australasia']
madrid : spain = hanoi : vietnam -> ['hanoi', 'spain', 'cambodia', 'syria', 'mauritania']
madrid : spain = havana : cuba -> ['spain', 'havana', 'morocco', 'italy', 'fennoscandia']
madrid : spain = helsinki : finland -> ['helsinki', 'spain', 'fennoscandia', 'sweden', 'denmark']
madrid : spain = islamabad : pakistan -> ['islamabad', 'spain', 'bhutan', 'turkmenistan', 'arabia']
madrid : spain = kabul : afghanistan -> ['kabul', 'syria', 'spain', 'egypt', 'bactria']
madrid : spain = london : england -> ['london', 'spain', 'italy', 'fennoscandia', 'britain']
moscow : russia = oslo : norway -> ['oslo', 'russia', 'sweden', 'slovenia', 'finland']
moscow : russia = ottawa : canada -> ['ottawa', 'russia', 'canada', 'denmark', 'sweden']
moscow : russia = paris : france -> ['russia', 'paris', 'italy', 'france', 'spain']
moscow : russia = rome : italy -> ['rome', 'russia', 'egypt', 'italy', 'gaul']
moscow : russia = stockholm : sweden -> ['russia', 'stockholm', 'sweden', 'denmark', 'iceland']
moscow : russia = tehran : iran -> ['russia', 'iran', 'tehran', 'thailand', 'eritrea']
moscow : russia = tokyo : japan -> ['russia', 'tokyo', 'japan', 'thailand', 'germany']
moscow : russia = athens : greece -> ['russia', 'athens', 'greece', 'denmark', 'spain']
moscow : russia = baghdad : iraq -> ['russia', 'baghdad', 'syria', 'libya', 'eritrea']
moscow : russia = bangkok : thailand -> ['russia', 'thailand', 'bangkok', 'indonesia', 'nigeria']
moscow : russia = beijing : china -> ['russia', 'china', 'beijing', 'finland', 'ethiopia']
moscow : russia = berlin : germany -> ['russia', 'berlin', 'germany', 'switzerland', 'sweden']
moscow : russia = bern : switzerland -> ['russia', 'bern', 'denmark-norway', 'brandenburg-prussia', 'hungary']
moscow : russia = cairo : egypt -> ['russia', 'abyssinia', 'cairo', 'egypt', 'syria']
moscow : russia = canberra : australia -> ['canberra', 'russia', 'tasmania', 'australia', 'nigeria']
moscow : russia = hanoi : vietnam -> ['russia', 'hanoi', 'iran', 'thailand', 'eritrea']
moscow : russia = havana : cuba -> ['havana', 'russia', 'hispaniola', 'peru', 'cuba']
moscow : russia = helsinki : finland -> ['russia', 'helsinki', 'sweden', 'latvia', 'finland']
moscow : russia = islamabad : pakistan -> ['islamabad', 'russia', 'nigeria', 'tajikistan', 'thailand']
moscow : russia = kabul : afghanistan -> ['russia', 'kabul', 'syria', 'afghanistan', 'eritrea']
moscow : russia = london : england -> ['london', 'russia', 'england', 'italy', 'africa']
moscow : russia = madrid : spain -> ['madrid', 'russia', 'spain', 'peru', 'chile']
oslo : norway = ottawa : canada -> ['norway', 'ottawa', 'canada', 'denmark', 'sweden']
oslo : norway = paris : france -> ['norway', 'paris', 'italy', 'france', 'egypt']
oslo : norway = rome : italy -> ['rome', 'norway', 'egypt', 'assyria', 'persia']
oslo : norway = stockholm : sweden -> ['norway', 'sweden', 'denmark', 'finland', 'iceland']
oslo : norway = tehran : iran -> ['norway', 'tehran', 'egypt', 'iran', 'morocco']
oslo : norway = tokyo : japan -> ['norway', 'tokyo', 'japan', 'korea', 'sweden']
oslo : norway = athens : greece -> ['norway', 'athens', 'denmark', 'greece', 'egypt']
oslo : norway = baghdad : iraq -> ['norway', 'baghdad', 'syria', 'egypt', 'babylonia']
oslo : norway = bangkok : thailand -> ['norway', 'bangkok', 'thailand', 'morocco', 'egypt']
oslo : norway = beijing : china -> ['norway', 'beijing', 'china', 'finland', 'ethiopia']
oslo : norway = berlin : germany -> ['norway', 'berlin', 'sweden', 'germany', 'hungary']
oslo : norway = bern : switzerland -> ['norway', 'bern', 'denmark-norway', 'sweden', 'hungary']
oslo : norway = cairo : egypt -> ['norway', 'egypt', 'cairo', 'abyssinia', 'morocco']
oslo : norway = canberra : australia -> ['canberra', 'norway', 'tasmania', 'australia', 'australasia']
oslo : norway = hanoi : vietnam -> ['norway', 'hanoi', 'tunisia', 'egypt', 'syria']
oslo : norway = havana : cuba -> ['norway', 'havana', 'cuba', 'morocco', 'abyssinia']
oslo : norway = helsinki : finland -> ['norway', 'sweden', 'denmark', 'finland', 'fennoscandia']
oslo : norway = islamabad : pakistan -> ['norway', 'islamabad', 'nigeria', 'arabia', 'bhutan']
oslo : norway = kabul : afghanistan -> ['norway', 'kabul', 'egypt', 'syria', 'abyssinia']
oslo : norway = london : england -> ['norway', 'london', 'england', 'italy', 'britain']
oslo : norway = madrid : spain -> ['norway', 'madrid', 'spain', 'italy', 'portugal']
oslo : norway = moscow : russia -> ['norway', 'moscow', 'russia', 'lithuania', 'hungary']
ottawa : canada = paris : france -> ['paris', 'canada', 'italy', 'latin-america', 'europe']
ottawa : canada = rome : italy -> ['rome', 'canada', 'egypt', 'persia', 'byzantium']
ottawa : canada = stockholm : sweden -> ['canada', 'stockholm', 'sweden', 'norway', 'finland']
ottawa : canada = tehran : iran -> ['canada', 'tehran', 'kyrgyzstan', 'iran', 'tunisia']
ottawa : canada = tokyo : japan -> ['tokyo', 'canada', 'japan', 'taiwan', 'malaysia']
ottawa : canada = athens : greece -> ['athens', 'canada', 'greece', 'sweden', 'finland']
ottawa : canada = baghdad : iraq -> ['baghdad', 'canada', 'manchuria', 'abyssinia', 'tunisia']
ottawa : canada = bangkok : thailand -> ['bangkok', 'canada', 'malaysia', 'macao', 'cambodia']
ottawa : canada = beijing : china -> ['beijing', 'canada', 'china', 'taiwan', 'india']
ottawa : canada = berlin : germany -> ['berlin', 'canada', 'germany', 'hamburg', 'switzerland']
ottawa : canada = bern : switzerland -> ['bern', 'canada', 'rumania', 'sweden', 'luxemburg']
ottawa : canada = cairo : egypt -> ['canada', 'cairo', 'abyssinia', 'egypt', 'phoenicia']
ottawa : canada = canberra : australia -> ['canberra', 'canada', 'australia', 'tasmania', 'australasia']
ottawa : canada = hanoi : vietnam -> ['hanoi', 'canada', 'taiwan', 'malaysia', 'macao']
ottawa : canada = havana : cuba -> ['canada', 'havana', 'cuba', 'curaçao', 'jamaica']
ottawa : canada = helsinki : finland -> ['canada', 'helsinki', 'sweden', 'finland', 'norway']
ottawa : canada = islamabad : pakistan -> ['islamabad', 'canada', 'malaysia', 'nigeria', 'pakistan']
ottawa : canada = kabul : afghanistan -> ['kabul', 'canada', 'abyssinia', 'ifriqiya', 'egypt']
ottawa : canada = london : england -> ['london', 'canada', 'australia', 'australasia', 'europe']
ottawa : canada = madrid : spain -> ['madrid', 'canada', 'chile', 'nicaragua', 'peru']
ottawa : canada = moscow : russia -> ['canada', 'moscow', 'russia', 'rumania', 'sweden']
ottawa : canada = oslo : norway -> ['canada', 'oslo', 'sweden', 'norway', 'finland']
paris : france = rome : italy -> ['france', 'rome', 'denmark-norway', 'persia', 'finland']
paris : france = stockholm : sweden -> ['france', 'sweden', 'finland', 'stockholm', 'denmark']
paris : france = tehran : iran -> ['france', 'tehran', 'iran', 'mauritania', 'ethiopia']
paris : france = tokyo : japan -> ['france', 'tokyo', 'japan', 'finland', 'germany']
paris : france = athens : greece -> ['france', 'athens', 'finland', 'denmark-norway', 'greece']
paris : france = baghdad : iraq -> ['france', 'baghdad', 'ethiopia', 'mauritania', 'syria']
paris : france = bangkok : thailand -> ['france', 'bangkok', 'cambodia', 'mauritania', 'myanmar']
paris : france = beijing : china -> ['france', 'beijing', 'finland', 'ethiopia', 'china']
paris : france = berlin : germany -> ['france', 'germany', 'berlin', 'sweden', 'belgium']
paris : france = bern : switzerland -> ['france', 'bern', 'denmark-norway', 'brandenburg-prussia', 'austro-hungary']
paris : france = cairo : egypt -> ['france', 'cairo', 'ethiopia', 'mauritania', 'persia']
paris : france = canberra : australia -> ['canberra', 'france', 'tasmania', 'geelong', 'australia']
paris : france = hanoi : vietnam -> ['france', 'hanoi', 'mauritania', 'ethiopia', 'cambodia']
paris : france = havana : cuba -> ['france', 'havana', 'cuba', 'mauritania', 'chile']
paris : france = helsinki : finland -> ['france', 'helsinki', 'finland', 'sweden', 'slovakia']
paris : france = islamabad : pakistan -> ['islamabad', 'france', 'mauritania', 'turkmenistan', 'nigeria']
paris : france = kabul : afghanistan -> ['kabul', 'france', 'mauritania', 'transjordan', 'helmand']
paris : france = london : england -> ['france', 'london', 'england', 'britain', 'sweden']
paris : france = madrid : spain -> ['france', 'madrid', 'spain', 'paraguay', 'portugal']
paris : france = moscow : russia -> ['france', 'moscow', 'russia', 'lithuania', 'bulgaria']
paris : france = oslo : norway -> ['oslo', 'france', 'sweden', 'finland', 'slovakia']
paris : france = ottawa : canada -> ['ottawa', 'france', 'winnipeg', 'sweden', 'finland']
rome : italy = stockholm : sweden -> ['italy', 'stockholm', 'sweden', 'norway', 'fennoscandia']
rome : italy = tehran : iran -> ['italy', 'tehran', 'kyrgyzstan', 'iran', 'bosnia-herzegovina']
rome : italy = tokyo : japan -> ['tokyo', 'italy', 'japan', 'hokkaido', 'kyūshū']
rome : italy = athens : greece -> ['italy', 'spain', 'greece', 'bulgaria', 'croatia']
rome : italy = baghdad : iraq -> ['italy', 'afghanistan', 'dagestan', 'chechnya', 'tunisia']
rome : italy = bangkok : thailand -> ['italy', 'bangkok', 'phuket', 'kyrgyzstan', 'cambodia']
rome : italy = beijing : china -> ['italy', 'beijing', 'kyrgyzstan', 'korea', 'china']
rome : italy = berlin : germany -> ['italy', 'berlin', 'germany', 'switzerland', 'belgium']
rome : italy = bern : switzerland -> ['italy', 'bern', 'rumania', 'austria', 'hungary']
rome : italy = cairo : egypt -> ['italy', 'cairo', 'belorussia', 'rumania', 'morocco']
rome : italy = canberra : australia -> ['canberra', 'italy', 'toowoomba', 'qld', 'tasmania']
rome : italy = hanoi : vietnam -> ['italy', 'hanoi', 'bosnia-herzegovina', 'kyrgyzstan', 'uzbekistan']
rome : italy = havana : cuba -> ['italy', 'havana', 'corsica', 'argentina', 'curacao']
rome : italy = helsinki : finland -> ['helsinki', 'italy', 'slovakia', 'fennoscandia', 'bosnia-herzegovina']
rome : italy = islamabad : pakistan -> ['islamabad', 'bosnia-herzegovina', 'kyrgyzstan', 'italy', 'tajikistan']
rome : italy = kabul : afghanistan -> ['italy', 'kabul', 'afghanistan', 'chechnya', 'helmand']
rome : italy = london : england -> ['london', 'italy', 'england', 'germany', 'cumbria']
rome : italy = madrid : spain -> ['italy', 'madrid', 'spain', 'argentina', 'catalonia']
rome : italy = moscow : russia -> ['italy', 'moscow', 'romania', 'bulgaria', 'kazakhstan']
rome : italy = oslo : norway -> ['oslo', 'italy', 'slovakia', 'slovenia', 'norway']
rome : italy = ottawa : canada -> ['ottawa', 'italy', 'toronto', 'edmonton', 'mississauga']
rome : italy = paris : france -> ['italy', 'paris', 'spain', 'rumania', 'belgium']
stockholm : sweden = tehran : iran -> ['sweden', 'tehran', 'iran', 'hungary', 'bulgaria']
stockholm : sweden = tokyo : japan -> ['sweden', 'tokyo', 'japan', 'norway', 'germany']
stockholm : sweden = athens : greece -> ['sweden', 'athens', 'denmark', 'hungary', 'denmark-norway']
stockholm : sweden = baghdad : iraq -> ['baghdad', 'sweden', 'syria', 'hungary', 'iran']
stockholm : sweden = bangkok : thailand -> ['sweden', 'bangkok', 'thailand', 'norway', 'cambodia']
stockholm : sweden = beijing : china -> ['sweden', 'beijing', 'finland', 'hungary', 'china']
stockholm : sweden = berlin : germany -> ['sweden', 'berlin', 'germany', 'hungary', 'norway']
stockholm : sweden = bern : switzerland -> ['bern', 'sweden', 'denmark-norway', 'hungary', 'brandenburg-prussia']
stockholm : sweden = cairo : egypt -> ['sweden', 'cairo', 'egypt', 'hungary', 'norway']
stockholm : sweden = canberra : australia -> ['canberra', 'sweden', 'norway', 'tasmania', 'australia']
stockholm : sweden = hanoi : vietnam -> ['sweden', 'hanoi', 'bulgaria', 'hungary', 'romania']
stockholm : sweden = havana : cuba -> ['sweden', 'havana', 'norway', 'cuba', 'curaçao']
stockholm : sweden = helsinki : finland -> ['sweden', 'norway', 'finland', 'hungary', 'denmark']
stockholm : sweden = islamabad : pakistan -> ['islamabad', 'sweden', 'turkmenistan', 'malaysia', 'qatar']
stockholm : sweden = kabul : afghanistan -> ['kabul', 'sweden', 'syria', 'egypt', 'transjordan']
stockholm : sweden = london : england -> ['sweden', 'london', 'england', 'norway', 'hungary']
stockholm : sweden = madrid : spain -> ['madrid', 'sweden', 'spain', 'portugal', 'argentina']
stockholm : sweden = moscow : russia -> ['sweden', 'russia', 'moscow', 'hungary', 'romania']
stockholm : sweden = oslo : norway -> ['sweden', 'norway', 'oslo', 'finland', 'hungary']
stockholm : sweden = ottawa : canada -> ['ottawa', 'sweden', 'canada', 'norway', 'denmark']
stockholm : sweden = paris : france -> ['sweden', 'france', 'paris', 'italy', 'spain']
stockholm : sweden = rome : italy -> ['rome', 'sweden', 'egypt', 'assyria', 'hungary']
tehran : iran = tokyo : japan -> ['tokyo', 'iran', 'japan', 'korea', 'taiwan']
tehran : iran = athens : greece -> ['athens', 'iran', 'armenia', 'greece', 'assyria']
tehran : iran = baghdad : iraq -> ['iran', 'syria', 'afghanistan', 'iraq', 'baghdad']
tehran : iran = bangkok : thailand -> ['iran', 'cambodia', 'bangkok', 'afghanistan', 'myanmar']
tehran : iran = beijing : china -> ['iran', 'beijing', 'china', 'ethiopia', 'uzbekistan']
tehran : iran = berlin : germany -> ['berlin', 'iran', 'germany', 'czechoslovakia', 'belgium']
tehran : iran = bern : switzerland -> ['bern', 'iran', 'denmark-norway', 'brandenburg-prussia', 'poland-lithuania']
tehran : iran = cairo : egypt -> ['iran', 'syria', 'cairo', 'abyssinia', 'iraq']
tehran : iran = canberra : australia -> ['canberra', 'iran', 'pakistan', 'australasia', 'bangladesh']
tehran : iran = hanoi : vietnam -> ['iran', 'hanoi', 'syria', 'iraq', 'afghanistan']
tehran : iran = havana : cuba -> ['iran', 'havana', 'cuba', 'abyssinia', 'surinam']
tehran : iran = helsinki : finland -> ['iran', 'helsinki', 'uzbekistan', 'kazakhstan', 'bulgaria']
tehran : iran = islamabad : pakistan -> ['iran', 'islamabad', 'pakistan', 'tajikistan', 'bangladesh']
tehran : iran = kabul : afghanistan -> ['iran', 'afghanistan', 'syria', 'kabul', 'iraq']
tehran : iran = london : england -> ['london', 'iran', 'britain', 'australasia', 'england']
tehran : iran = madrid : spain -> ['madrid', 'iran', 'argentina', 'paraguay', 'nicaragua']
tehran : iran = moscow : russia -> ['iran', 'moscow', 'russia', 'armenia', 'azerbaijan']
tehran : iran = oslo : norway -> ['oslo', 'iran', 'slovenia', 'uzbekistan', 'serbia']
tehran : iran = ottawa : canada -> ['ottawa', 'iran', 'armenia', 'kazakhstan', 'uzbekistan']
tehran : iran = paris : france -> ['paris', 'iran', 'france', 'belgium', 'italy']
tehran : iran = rome : italy -> ['rome', 'iran', 'egypt', 'assyria', 'persia']
tehran : iran = stockholm : sweden -> ['iran', 'stockholm', 'slovenia', 'sweden', 'bulgaria']
tokyo : japan = athens : greece -> ['athens', 'japan', 'greece', 'denmark', 'sparta']
tokyo : japan = baghdad : iraq -> ['japan', 'baghdad', 'babylonia', 'egypt', 'iran']
tokyo : japan = bangkok : thailand -> ['japan', 'bangkok', 'thailand', 'china', 'indonesia']
tokyo : japan = beijing : china -> ['japan', 'china', 'beijing', 'greece', 'korea']
tokyo : japan = berlin : germany -> ['japan', 'berlin', 'germany', 'belgium', 'sweden']
tokyo : japan = bern : switzerland -> ['bern', 'japan', 'denmark-norway', 'rumania', 'brandenburg-prussia']
tokyo : japan = cairo : egypt -> ['japan', 'cairo', 'egypt', 'babylonia', 'greece']
tokyo : japan = canberra : australia -> ['canberra', 'japan', 'australia', 'australasia', 'tasmania']
tokyo : japan = hanoi : vietnam -> ['japan', 'hanoi', 'china', 'korea', 'greece']
tokyo : japan = havana : cuba -> ['japan', 'havana', 'cuba', 'surinam', 'brazil']
tokyo : japan = helsinki : finland -> ['japan', 'helsinki', 'denmark', 'sweden', 'finland']
tokyo : japan = islamabad : pakistan -> ['islamabad', 'japan', 'nigeria', 'tajikistan', 'turkmenistan']
tokyo : japan = kabul : afghanistan -> ['kabul', 'japan', 'egypt', 'babylonia', 'iran']
tokyo : japan = london : england -> ['london', 'japan', 'australia', 'italy', 'australasia']
tokyo : japan = madrid : spain -> ['madrid', 'japan', 'spain', 'portugal', 'paraguay']
tokyo : japan = moscow : russia -> ['japan', 'moscow', 'russia', 'greece', 'lithuania']
tokyo : japan = oslo : norway -> ['japan', 'oslo', 'sweden', 'denmark', 'finland']
tokyo : japan = ottawa : canada -> ['ottawa', 'japan', 'canada', 'denmark', 'greece']
tokyo : japan = paris : france -> ['japan', 'paris', 'italy', 'france', 'belgium']
tokyo : japan = rome : italy -> ['rome', 'japan', 'greece', 'egypt', 'assyria']
tokyo : japan = stockholm : sweden -> ['japan', 'stockholm', 'denmark', 'sweden', 'greece']
tokyo : japan = tehran : iran -> ['japan', 'tehran', 'iran', 'greece', 'china']
