bad : worse = big : bigger -> ['worse', 'bigger', 'big', 'larger', 'smaller']
good : better = large : larger -> ['larger', 'smaller', 'large', 'bigger', 'better']
good : better = long : longer -> ['long', 'better', 'longer', 'retrospectively', 'patiently']
good : better = loud : louder -> ['loud', 'louder', 'better', 'funnier', 'faster']
good : better = low : lower -> ['low', 'better', 'higher', 'lower', 'hotter']
good : better = new : newer -> ['new', 'better', 'newer', 'd-new', 'female-only']
good : better = old : older -> ['old', 'older', 'better', 'newer', 'younger']
good : better = quick : quicker -> ['quick', 'better', 'faster', 'slower', 'cheaper']
good : better = safe : safer -> ['safe', 'better', 'safer', 'healthier', 'cheaper']
good : better = sharp : sharper -> ['sharp', 'better', 'sharper', 'tighter', 'tougher']
good : better = short : shorter -> ['short', 'better', 'shorter', 'longer', 'faster']
good : better = simple : simpler -> ['simple', 'simpler', 'better', 'tighter', 'user-friendly']
good : better = slow : slower -> ['slow', 'slower', 'better', 'faster', 'accelerate']
good : better = small : smaller -> ['smaller', 'small', 'larger', 'bigger', 'better']
good : better = smart : smarter -> ['smart', 'better', 'smarter', 'cheaper', 'healthier']
good : better = strong : stronger -> ['stronger', 'strong', 'better', 'weaker', 'weak']
good : better = tall : taller -> ['tall', 'taller', 'better', 'narrower', 'thinner']
good : better = tight : tighter -> ['tight', 'tighter', 'better', 'tougher', 'smoother']
good : better = tough : tougher -> ['tough', 'tougher', 'better', 'tighter', 'harder']
good : better = warm : warmer -> ['warm', 'warmer', 'better', 'colder', 'hotter']
good : better = weak : weaker -> ['weak', 'better', 'weaker', 'stronger', 'tougher']
good : better = wide : wider -> ['wide', 'wider', 'better', 'narrower', 'broader']
good : better = young : younger -> ['young', 'younger', 'better', 'older', 'smarter']
good : better = bad : worse -> ['better', 'bad', 'worse', 'funnier', 'uglier']
good : better = big : bigger -> ['big', 'better', 'bigger', 'smaller', 'larger']
good : better = bright : brighter -> ['bright', 'better', 'brighter', 'whiter', 'darker']
good : better = cheap : cheaper -> ['cheaper', 'cheap', 'better', 'inexpensive', 'expensive']
good : better = cold : colder -> ['cold', 'warmer', 'better', 'colder', 'hotter']
good : better = cool : cooler -> ['cool', 'better', 'warmer', 'cooler', 'colder']
good : better = deep : deeper -> ['deep', 'deeper', 'better', 'narrower', 'deepest']
good : better = easy : easier -> ['easy', 'easier', 'better', 'harder', 'faster']
good : better = fast : faster -> ['fast', 'faster', 'better', 'slower', 'smoothly']
great : greater = hard : harder -> ['hard', 'harder', 'greater', 'tougher', 'easier']
great : greater = heavy : heavier -> ['heavier', 'heavy', 'greater', 'lighter', 'tighter']
great : greater = high : higher -> ['high', 'higher', 'greater', 'lower', 'near-zero']
great : greater = hot : hotter -> ['hot', 'greater', 'hotter', 'heavier', 'weaker']
great : greater = large : larger -> ['larger', 'large', 'greater', 'smaller', 'bigger']
great : greater = long : longer -> ['long', 'greater', 'longer', 'shorter', 'broader']
great : greater = loud : louder -> ['loud', 'louder', 'greater', 'heavier', 'slower']
great : greater = low : lower -> ['low', 'higher', 'greater', 'lower', 'steeper']
great : greater = new : newer -> ['new', 'greater', 'd-new', 'broader', 'australia-new']
great : greater = old : older -> ['old', 'greater', 'older', 'larger', 'weaker']
great : greater = quick : quicker -> ['quick', 'slower', 'greater', 'faster', 'tougher']
great : greater = safe : safer -> ['safe', 'greater', 'safer', 'healthier', 'cheaper']
great : greater = sharp : sharper -> ['sharp', 'greater', 'sharper', 'broader', 'heavier']
great : greater = short : shorter -> ['short', 'greater', 'shorter', 'longer', 'broader']
great : greater = simple : simpler -> ['simple', 'simpler', 'greater', 'broader', 'tighter']
great : greater = slow : slower -> ['slow', 'slower', 'faster', 'greater', 'accelerate']
great : greater = small : smaller -> ['small', 'smaller', 'greater', 'larger', 'bigger']
great : greater = smart : smarter -> ['smart', 'greater', 'smarter', 'cheaper', 'tougher']
great : greater = strong : stronger -> ['stronger', 'strong', 'greater', 'weaker', 'broader']
great : greater = tall : taller -> ['tall', 'taller', 'greater', 'heavier', 'narrower']
great : greater = tight : tighter -> ['tight', 'tighter', 'greater', 'looser', 'narrower']
great : greater = tough : tougher -> ['tough', 'tougher', 'greater', 'tighter', 'heavier']
great : greater = warm : warmer -> ['warm', 'warmer', 'hotter', 'drier', 'colder']
great : greater = weak : weaker -> ['weaker', 'weak', 'stronger', 'greater', 'heavier']
great : greater = wide : wider -> ['wide', 'wider', 'greater', 'broader', 'narrower']
great : greater = young : younger -> ['young', 'greater', 'younger', 'older', 'higher']
great : greater = bad : worse -> ['bad', 'greater', 'weaker', 'stronger', 'nastier']
great : greater = big : bigger -> ['greater', 'big', 'bigger', 'larger', 'smaller']
great : greater = bright : brighter -> ['bright', 'brighter', 'greater', 'paler', 'redder']
great : greater = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'greater', 'heavier']
great : greater = cold : colder -> ['cold', 'warmer', 'colder', 'hotter', 'greater']
great : greater = cool : cooler -> ['cool', 'warmer', 'hotter', 'colder', 'cooler']
great : greater = deep : deeper -> ['deep', 'deeper', 'greater', 'wider', 'narrower']
great : greater = easy : easier -> ['easy', 'easier', 'greater', 'harder', 'faster']
great : greater = fast : faster -> ['faster', 'fast', 'slower', 'greater', 'heavier']
great : greater = good : better -> ['greater', 'good', 'weaker', 'firmer', 'riskier']
hard : harder = heavy : heavier -> ['heavy', 'heavier', 'harder', 'lighter', 'tougher']
hard : harder = high : higher -> ['high', 'higher', 'low', 'cheaper', 'noisier']
hard : harder = hot : hotter -> ['hot', 'hotter', 'harder', 'bubbling', 'tougher']
hard : harder = large : larger -> ['large', 'larger', 'smaller', 'bigger', 'huge']
hard : harder = long : longer -> ['long', 'shorter', 'longer', 'harder', 'busier']
hard : harder = loud : louder -> ['loud', 'louder', 'harder', 'funnier', 'tougher']
hard : harder = low : lower -> ['low', 'higher', 'hotter', 'sharper', 'steeper']
hard : harder = new : newer -> ['new', 'd-new', 'australia-new', 'newer', '2-barrel']
hard : harder = old : older -> ['old', 'older', 'younger', 'tougher', 'prettier']
hard : harder = quick : quicker -> ['quick', 'slower', 'easier', 'harder', 'tougher']
hard : harder = safe : safer -> ['safe', 'safer', 'healthier', 'easier', 'unsafe']
hard : harder = sharp : sharper -> ['sharp', 'sharper', 'harder', 'blacker', 'grimmer']
hard : harder = short : shorter -> ['short', 'shorter', 'longer', 'harder', 'funnier']
hard : harder = simple : simpler -> ['simple', 'simpler', 'leaner', 'neat', 'neater']
hard : harder = slow : slower -> ['slow', 'slower', 'faster', 'slowing', 'harder']
hard : harder = small : smaller -> ['small', 'smaller', 'bigger', 'larger', 'tiny']
hard : harder = smart : smarter -> ['smart', 'smarter', 'sharper', 'bolder', 'harder']
hard : harder = strong : stronger -> ['strong', 'stronger', 'weak', 'weaker', 'tougher']
hard : harder = tall : taller -> ['tall', 'taller', 'shorter', 'thick', 'thinner']
hard : harder = tight : tighter -> ['tight', 'tighter', 'tougher', 'looser', 'sharper']
hard : harder = tough : tougher -> ['tougher', 'tough', 'harder', 'easier', 'funnier']
hard : harder = warm : warmer -> ['warm', 'warmer', 'hotter', 'colder', 'drier']
hard : harder = weak : weaker -> ['weak', 'weaker', 'stronger', 'tougher', 'angrier']
hard : harder = wide : wider -> ['wide', 'wider', 'narrower', 'broader', 'broad']
hard : harder = young : younger -> ['young', 'younger', 'dowdy', 'lusher', 'tribble']
hard : harder = bad : worse -> ['bad', 'uglier', 'funnier', 'prettier', 'weirder']
hard : harder = big : bigger -> ['big', 'bigger', 'smaller', 'huge', 'larger']
hard : harder = bright : brighter -> ['bright', 'browner', 'brighter', 'sharper', 'whiter']
hard : harder = cheap : cheaper -> ['cheap', 'cheaper', 'inexpensive', 'expensive', 'harder']
hard : harder = cold : colder -> ['cold', 'warmer', 'hotter', 'colder', 'wetter']
hard : harder = cool : cooler -> ['cool', 'warmer', 'hotter', 'colder', 'cooler']
hard : harder = deep : deeper -> ['deep', 'deeper', 'hotter', 'narrower', 'thinner']
hard : harder = easy : easier -> ['easy', 'easier', 'harder', 'simpler', 'tougher']
hard : harder = fast : faster -> ['fast', 'faster', 'slower', 'harder', 'smoother']
hard : harder = good : better -> ['good', 'funnier', 'better', 'prettier', 'sillier']
hard : harder = great : greater -> ['great', 'greater', 'florenz', 'tremendous', 'unready']
heavy : heavier = high : higher -> ['high', 'higher', 'weaker', 'cheaper', 'heavier']
heavy : heavier = hot : hotter -> ['hot', 'hotter', 'softer', 'heavier', 'sweeter']
heavy : heavier = large : larger -> ['larger', 'smaller', 'large', 'bigger', 'narrower']
heavy : heavier = long : longer -> ['long', 'longer', 'shorter', 'spindly', 'narrower']
heavy : heavier = loud : louder -> ['loud', 'louder', 'sweeter', 'funnier', 'softer']
heavy : heavier = low : lower -> ['low', 'higher', 'weaker', 'heavier', 'hotter']
heavy : heavier = new : newer -> ['new', 'newer', 'sturdier', 'longer-lived', 'sexier']
heavy : heavier = old : older -> ['old', 'older', 'weaker', 'newer', 'younger']
heavy : heavier = quick : quicker -> ['quick', 'slower', 'faster', 'tougher', 'cheaper']
heavy : heavier = safe : safer -> ['safe', 'healthier', 'safer', 'cheaper', 'friendlier']
heavy : heavier = sharp : sharper -> ['sharp', 'sharper', 'heavier', 'sexier', 'narrower']
heavy : heavier = short : shorter -> ['short', 'shorter', 'longer', 'narrower', 'slower']
heavy : heavier = simple : simpler -> ['simple', 'simpler', 'leaner', 'softer', 'bulkier']
heavy : heavier = slow : slower -> ['slower', 'slow', 'faster', 'smoother', 'cheaper']
heavy : heavier = small : smaller -> ['smaller', 'small', 'larger', 'bigger', 'tiny']
heavy : heavier = smart : smarter -> ['smart', 'smarter', 'leaner', 'cheaper', 'healthier']
heavy : heavier = strong : stronger -> ['stronger', 'strong', 'weaker', 'weak', 'tougher']
heavy : heavier = tall : taller -> ['tall', 'taller', 'heavier', 'narrower', 'thinner']
heavy : heavier = tight : tighter -> ['tight', 'tighter', 'narrower', 'tougher', 'looser']
heavy : heavier = tough : tougher -> ['tough', 'tougher', 'heavier', 'softer', 'weaker']
heavy : heavier = warm : warmer -> ['warm', 'warmer', 'hotter', 'softer', 'drier']
heavy : heavier = weak : weaker -> ['weaker', 'weak', 'stronger', 'tougher', 'heavier']
heavy : heavier = wide : wider -> ['wide', 'wider', 'narrower', 'broader', 'smaller']
heavy : heavier = young : younger -> ['young', 'younger', 'older', 'wealthier', 'middle-aged']
heavy : heavier = bad : worse -> ['bad', 'funnier', 'uglier', 'weaker', 'dirtier']
heavy : heavier = big : bigger -> ['bigger', 'big', 'smaller', 'larger', 'funnier']
heavy : heavier = bright : brighter -> ['bright', 'brighter', 'whiter', 'fainter', 'richer']
heavy : heavier = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'softer', 'heavier']
heavy : heavier = cold : colder -> ['cold', 'warmer', 'hotter', 'colder', 'cooler']
heavy : heavier = cool : cooler -> ['cool', 'warmer', 'hotter', 'softer', 'cooler']
heavy : heavier = deep : deeper -> ['deep', 'deeper', 'narrower', 'softer', 'slower']
heavy : heavier = easy : easier -> ['easy', 'easier', 'harder', 'slower', 'tougher']
heavy : heavier = fast : faster -> ['fast', 'faster', 'slower', 'heavier', 'smoother']
heavy : heavier = good : better -> ['good', 'funnier', 'better', 'sillier', 'weaker']
heavy : heavier = great : greater -> ['great', 'greater', 'funnier', 'sillier', 'bigger']
heavy : heavier = hard : harder -> ['hard', 'harder', 'tougher', 'softer', 'heavier']
high : higher = hot : hotter -> ['hot', 'hotter', 'higher', 'tougher', 'heavier']
high : higher = large : larger -> ['larger', 'large', 'smaller', 'bigger', 'higher']
high : higher = long : longer -> ['long', 'longer', 'shorter', 'higher', 'narrower']
high : higher = loud : louder -> ['loud', 'louder', 'funnier', 'tougher', 'slower']
high : higher = low : lower -> ['higher', 'low', 'lower', 'lowest', 'steeper']
high : higher = new : newer -> ['new', 'higher', 'd-new', 'australia-new', 'longer-lived']
high : higher = old : older -> ['old', 'older', 'higher', 'younger', 'nastier']
high : higher = quick : quicker -> ['quick', 'slower', 'tougher', 'faster', 'funnier']
high : higher = safe : safer -> ['safe', 'safer', 'healthier', 'higher', 'friendlier']
high : higher = sharp : sharper -> ['sharp', 'sharper', 'higher', 'tougher', 'sharpest']
high : higher = short : shorter -> ['short', 'shorter', 'higher', 'longer', 'slower']
high : higher = simple : simpler -> ['simple', 'simpler', 'leaner', 'nastier', 'riskier']
high : higher = slow : slower -> ['slow', 'slower', 'faster', 'higher', 'slowing']
high : higher = small : smaller -> ['small', 'smaller', 'larger', 'bigger', 'higher']
high : higher = smart : smarter -> ['smart', 'smarter', 'higher', 'healthier', 'tougher']
high : higher = strong : stronger -> ['strong', 'stronger', 'weaker', 'weak', 'higher']
high : higher = tall : taller -> ['tall', 'taller', 'higher', 'narrower', 'larger']
high : higher = tight : tighter -> ['tight', 'tighter', 'tougher', 'narrower', 'higher']
high : higher = tough : tougher -> ['tough', 'tougher', 'harder', 'tighter', 'higher']
high : higher = warm : warmer -> ['warm', 'warmer', 'hotter', 'colder', 'healthier']
high : higher = weak : weaker -> ['weak', 'weaker', 'stronger', 'higher', 'tougher']
high : higher = wide : wider -> ['wide', 'wider', 'higher', 'narrower', 'broader']
high : higher = young : younger -> ['young', 'younger', 'higher', 'older', 'middle-aged']
high : higher = bad : worse -> ['bad', 'uglier', 'worse', 'sillier', 'nastier']
high : higher = big : bigger -> ['big', 'bigger', 'larger', 'smaller', 'higher']
high : higher = bright : brighter -> ['bright', 'brighter', 'whiter', 'higher', 'sharper']
high : higher = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'higher', 'riskier']
high : higher = cold : colder -> ['cold', 'warmer', 'colder', 'hotter', 'milder']
high : higher = cool : cooler -> ['cool', 'warmer', 'hotter', 'colder', 'cooler']
high : higher = deep : deeper -> ['deeper', 'deep', 'higher', 'deepest', 'narrower']
high : higher = easy : easier -> ['easy', 'easier', 'harder', 'tougher', 'slower']
high : higher = fast : faster -> ['fast', 'faster', 'slower', 'higher', 'rapidly']
high : higher = good : better -> ['good', 'better', 'higher', 'funnier', 'sillier']
high : higher = great : greater -> ['great', 'greater', 'higher', 'florenz', 'sillier']
high : higher = hard : harder -> ['hard', 'harder', 'tougher', 'higher', 'easier']
high : higher = heavy : heavier -> ['heavy', 'heavier', 'higher', 'tougher', 'tighter']
hot : hotter = large : larger -> ['large', 'smaller', 'larger', 'hotter', 'bigger']
hot : hotter = long : longer -> ['long', 'shorter', 'longer', 'hotter', 'quieter']
hot : hotter = loud : louder -> ['loud', 'louder', 'hotter', 'sweeter', 'fatter']
hot : hotter = low : lower -> ['low', 'hotter', 'steeper', 'colder', 'higher']
hot : hotter = new : newer -> ['new', 'grander', 'quieter', 'sturdier', 'nobler']
hot : hotter = old : older -> ['old', 'hotter', 'older', 'fatter', 'cleverer']
hot : hotter = quick : quicker -> ['quick', 'quicker', 'swifter', 'hotter', 'smoother']
hot : hotter = safe : safer -> ['safe', 'hotter', 'safer', 'healthier', 'swifter']
hot : hotter = sharp : sharper -> ['sharp', 'sharper', 'hotter', 'fatter', 'blacker']
hot : hotter = short : shorter -> ['short', 'shorter', 'hotter', 'steeper', 'thinner']
hot : hotter = simple : simpler -> ['simple', 'simpler', 'leaner', 'neater', 'swifter']
hot : hotter = slow : slower -> ['slow', 'slower', 'hotter', 'quicker', 'faster']
hot : hotter = small : smaller -> ['small', 'smaller', 'hotter', 'slimmer', 'larger']
hot : hotter = smart : smarter -> ['smarter', 'smart', 'greener', 'hotter', 'braver']
hot : hotter = strong : stronger -> ['strong', 'stronger', 'weaker', 'hotter', 'sharper']
hot : hotter = tall : taller -> ['tall', 'taller', 'hotter', 'thicker', 'steeper']
hot : hotter = tight : tighter -> ['tight', 'tighter', 'hotter', 'thicker', 'steeper']
hot : hotter = tough : tougher -> ['tough', 'tougher', 'hotter', 'fatter', 'smarter']
hot : hotter = warm : warmer -> ['warmer', 'hotter', 'colder', 'warm', 'wetter']
hot : hotter = weak : weaker -> ['weak', 'weaker', 'hotter', 'fatter', 'steeper']
hot : hotter = wide : wider -> ['wide', 'wider', 'narrower', 'shallower', 'steeper']
hot : hotter = young : younger -> ['young', 'hotter', 'younger', 'smarter', 'blacker']
hot : hotter = bad : worse -> ['bad', 'hotter', 'weirder', 'sweeter', 'fatter']
hot : hotter = big : bigger -> ['hotter', 'big', 'bigger', 'fainter', 'fatter']
hot : hotter = bright : brighter -> ['brighter', 'bright', 'hotter', 'whiter', 'fainter']
hot : hotter = cheap : cheaper -> ['cheaper', 'hotter', 'cheap', 'quieter', 'fatter']
hot : hotter = cold : colder -> ['cold', 'hotter', 'colder', 'warmer', 'cooler']
hot : hotter = cool : cooler -> ['hotter', 'cool', 'colder', 'warmer', 'cooler']
hot : hotter = deep : deeper -> ['deeper', 'deep', 'hotter', 'shallower', 'steeper']
hot : hotter = easy : easier -> ['easy', 'easier', 'hotter', 'quicker', 'quieter']
hot : hotter = fast : faster -> ['fast', 'faster', 'hotter', 'slower', 'quieter']
hot : hotter = good : better -> ['good', 'weirder', 'funnier', 'hotter', 'prettier']
hot : hotter = great : greater -> ['great', 'hotter', 'swifter', 'finer', 'greater']
hot : hotter = hard : harder -> ['hard', 'harder', 'hotter', 'rougher', 'fatter']
hot : hotter = heavy : heavier -> ['heavy', 'heavier', 'hotter', 'thinner', 'denser']
hot : hotter = high : higher -> ['high', 'higher', 'hotter', 'steeper', 'low']
large : larger = long : longer -> ['long', 'longer', 'shorter', 'larger', 'broader']
large : larger = loud : louder -> ['loud', 'louder', 'funnier', 'tougher', 'sweeter']
large : larger = low : lower -> ['low', 'higher', 'weaker', 'lower', 'larger']
large : larger = new : newer -> ['new', 'newer', 'larger', 'd-new', 'then-current']
large : larger = old : older -> ['old', 'older', 'newer', 'larger', 'younger']
large : larger = quick : quicker -> ['quick', 'slower', 'tougher', 'funnier', 'deadlier']
large : larger = safe : safer -> ['safe', 'safer', 'healthier', 'friendlier', 'cheaper']
large : larger = sharp : sharper -> ['sharp', 'sharper', 'tougher', 'broader', 'larger']
large : larger = short : shorter -> ['short', 'shorter', 'longer', 'larger', 'narrower']
large : larger = simple : simpler -> ['simple', 'simpler', 'leaner', 'looser', 'nastier']
large : larger = slow : slower -> ['slow', 'slower', 'faster', 'weaker', 'tougher']
large : larger = small : smaller -> ['smaller', 'larger', 'small', 'bigger', 'tiny']
large : larger = smart : smarter -> ['smart', 'smarter', 'tougher', 'healthier', 'prettier']
large : larger = strong : stronger -> ['stronger', 'strong', 'weaker', 'tougher', 'weak']
large : larger = tall : taller -> ['tall', 'taller', 'larger', 'narrower', 'heavier']
large : larger = tight : tighter -> ['tight', 'tighter', 'tougher', 'looser', 'narrower']
large : larger = tough : tougher -> ['tough', 'tougher', 'stronger', 'weaker', 'harder']
large : larger = warm : warmer -> ['warm', 'warmer', 'hotter', 'colder', 'drier']
large : larger = weak : weaker -> ['weaker', 'weak', 'stronger', 'tougher', 'deadlier']
large : larger = wide : wider -> ['wide', 'wider', 'broader', 'narrower', 'larger']
large : larger = young : younger -> ['young', 'younger', 'older', 'middle-aged', 'larger']
large : larger = bad : worse -> ['bad', 'weaker', 'uglier', 'nastier', 'funnier']
large : larger = big : bigger -> ['bigger', 'big', 'larger', 'smaller', 'deadlier']
large : larger = bright : brighter -> ['bright', 'brighter', 'whiter', 'richer', 'redder']
large : larger = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'tougher', 'deadlier']
large : larger = cold : colder -> ['cold', 'warmer', 'colder', 'hotter', 'cooler']
large : larger = cool : cooler -> ['cool', 'warmer', 'hotter', 'colder', 'calmer']
large : larger = deep : deeper -> ['deep', 'deeper', 'narrower', 'wider', 'deepest']
large : larger = easy : easier -> ['easy', 'easier', 'harder', 'tougher', 'easiest']
large : larger = fast : faster -> ['fast', 'faster', 'slower', 'tougher', 'heavier']
large : larger = good : better -> ['good', 'better', 'funnier', 'nastier', 'sillier']
large : larger = great : greater -> ['great', 'greater', 'larger', 'livelier', 'bigger']
large : larger = hard : harder -> ['hard', 'harder', 'tougher', 'easier', 'softer']
large : larger = heavy : heavier -> ['heavier', 'heavy', 'lighter', 'tougher', 'larger']
large : larger = high : higher -> ['high', 'higher', 'larger', 'weaker', 'smaller']
large : larger = hot : hotter -> ['hot', 'hotter', 'larger', 'tougher', 'weaker']
long : longer = loud : louder -> ['loud', 'louder', 'longer', 'funnier', 'dirtier']
long : longer = low : lower -> ['low', 'higher', 'longer', 'lower', 'noisier']
long : longer = new : newer -> ['new', 'd-new', '2-barrel', 'newly-created', 'longer']
long : longer = old : older -> ['old', 'older', 'longer', 'longer-lived', 'sillier']
long : longer = quick : quicker -> ['quick', 'slower', 'longer', 'faster', 'funnier']
long : longer = safe : safer -> ['safe', 'safer', 'longer', 'healthier', 'cheaper']
long : longer = sharp : sharper -> ['sharp', 'sharper', 'longer', 'sharpest', 'noisier']
long : longer = short : shorter -> ['short', 'longer', 'shorter', 'lengthier', 'funnier']
long : longer = simple : simpler -> ['simple', 'simpler', 'longer', 'superscalar', 'noisier']
long : longer = slow : slower -> ['slow', 'slower', 'faster', 'longer', 'slowing']
long : longer = small : smaller -> ['small', 'smaller', 'larger', 'tiny', 'longer']
long : longer = smart : smarter -> ['smart', 'smarter', 'longer', 'cheaper', 'cleverer']
long : longer = strong : stronger -> ['strong', 'stronger', 'weaker', 'longer', 'weak']
long : longer = tall : taller -> ['tall', 'taller', 'longer', 'heavier', 'bulkier']
long : longer = tight : tighter -> ['tight', 'longer', 'tighter', 'looser', 'tougher']
long : longer = tough : tougher -> ['tough', 'tougher', 'longer', 'funnier', 'harder']
long : longer = warm : warmer -> ['warm', 'warmer', 'drier', 'hotter', 'colder']
long : longer = weak : weaker -> ['weak', 'weaker', 'stronger', 'longer', 'tougher']
long : longer = wide : wider -> ['wide', 'wider', 'longer', 'narrower', 'broader']
long : longer = young : younger -> ['young', 'younger', 'middle-aged', 'older', 'longer']
long : longer = bad : worse -> ['bad', 'funnier', 'uglier', 'sillier', 'longer']
long : longer = big : bigger -> ['big', 'bigger', 'longer', 'larger', 'smaller']
long : longer = bright : brighter -> ['bright', 'brighter', 'whiter', 'longer', 'luminous']
long : longer = cheap : cheaper -> ['cheaper', 'cheap', 'inexpensive', 'longer', 'expensive']
long : longer = cold : colder -> ['cold', 'warmer', 'colder', 'hotter', 'drier']
long : longer = cool : cooler -> ['cool', 'warmer', 'hotter', 'colder', 'cooler']
long : longer = deep : deeper -> ['deeper', 'deep', 'longer', 'head-first', 'deepest']
long : longer = easy : easier -> ['easy', 'easier', 'harder', 'longer', 'easiest']
long : longer = fast : faster -> ['fast', 'faster', 'slower', 'longer', 'googly']
long : longer = good : better -> ['good', 'longer', 'funnier', 'sillier', 'better']
long : longer = great : greater -> ['great', 'longer', 'greater', 'florenz', 'tremendous']
long : longer = hard : harder -> ['hard', 'harder', 'longer', 'tougher', 'easier']
long : longer = heavy : heavier -> ['heavy', 'heavier', 'longer', 'lighter', 'noisier']
long : longer = high : higher -> ['high', 'higher', 'longer', 'ultra-high', 'near-zero']
long : longer = hot : hotter -> ['hot', 'hotter', 'longer', 'bubbling', 'hottest']
long : longer = large : larger -> ['larger', 'large', 'smaller', 'longer', 'bigger']
loud : louder = low : lower -> ['low', 'higher', 'louder', 'hotter', 'steeper']
loud : louder = new : newer -> ['new', 'd-new', 'australia-new', 'york-new', 'all-new']
loud : louder = old : older -> ['old', 'older', 'plainer', 'cleverer', 'busier']
loud : louder = quick : quicker -> ['quick', 'louder', 'smarter', 'quicker', 'slower']
loud : louder = safe : safer -> ['safe', 'healthier', 'safer', 'louder', 'friendlier']
loud : louder = sharp : sharper -> ['sharp', 'sharper', 'louder', 'bolder', 'blacker']
loud : louder = short : shorter -> ['short', 'shorter', 'louder', 'narrower', 'thinner']
loud : louder = simple : simpler -> ['simple', 'simpler', 'looser', 'louder', 'bulkier']
loud : louder = slow : slower -> ['slow', 'slower', 'louder', 'faster', 'slows']
loud : louder = small : smaller -> ['small', 'smaller', 'tiny', 'larger', 'bulkier']
loud : louder = smart : smarter -> ['smart', 'smarter', 'louder', 'bolder', 'cleverer']
loud : louder = strong : stronger -> ['strong', 'stronger', 'weaker', 'louder', 'weak']
loud : louder = tall : taller -> ['tall', 'taller', 'slimmer', 'thicker', 'fatter']
loud : louder = tight : tighter -> ['tight', 'tighter', 'looser', 'louder', 'thicker']
loud : louder = tough : tougher -> ['tough', 'tougher', 'louder', 'tighter', 'smarter']
loud : louder = warm : warmer -> ['warm', 'warmer', 'colder', 'hotter', 'louder']
loud : louder = weak : weaker -> ['weak', 'weaker', 'stronger', 'cleverer', 'louder']
loud : louder = wide : wider -> ['wide', 'wider', 'narrower', 'broader', 'shallower']
loud : louder = young : younger -> ['young', 'younger', 'louder', 'older', 'ruder']
loud : louder = bad : worse -> ['bad', 'weirder', 'louder', 'dumber', 'sweeter']
loud : louder = big : bigger -> ['big', 'bigger', 'louder', 'smarter', 'weirder']
loud : louder = bright : brighter -> ['bright', 'brighter', 'whiter', 'darker', 'duller']
loud : louder = cheap : cheaper -> ['cheap', 'cheaper', 'louder', 'inexpensive', 'softer']
loud : louder = cold : colder -> ['cold', 'colder', 'hotter', 'warmer', 'milder']
loud : louder = cool : cooler -> ['cool', 'louder', 'hotter', 'colder', 'warmer']
loud : louder = deep : deeper -> ['deep', 'deeper', 'louder', 'shallower', 'narrower']
loud : louder = easy : easier -> ['easy', 'easier', 'harder', 'louder', 'smarter']
loud : louder = fast : faster -> ['fast', 'faster', 'slower', 'louder', 'quieter']
loud : louder = good : better -> ['good', 'cleverer', 'weirder', 'better', 'prettier']
loud : louder = great : greater -> ['great', 'florenz', 'greater', 'cleverer', 'weirder']
loud : louder = hard : harder -> ['hard', 'harder', 'louder', 'softer', 'tougher']
loud : louder = heavy : heavier -> ['heavy', 'heavier', 'louder', 'lighter', 'bulkier']
loud : louder = high : higher -> ['high', 'higher', 'louder', 'steeper', 'low']
loud : louder = hot : hotter -> ['hot', 'hotter', 'louder', 'sweeter', 'colder']
loud : louder = large : larger -> ['larger', 'smaller', 'large', 'bigger', 'bulkier']
loud : louder = long : longer -> ['long', 'shorter', 'longer', 'louder', 'narrower']
low : lower = new : newer -> ['new', 'lower', 'd-new', 'upper', 'pre-county']
low : lower = old : older -> ['old', 'lower', 'older', 'upper', 'younger']
low : lower = quick : quicker -> ['quick', 'lower', 'slower', 'tougher', 'easier']
low : lower = safe : safer -> ['safe', 'lower', 'safer', 'upper', 'healthier']
low : lower = sharp : sharper -> ['sharp', 'lower', 'sharper', 'upper', 'mandibular']
low : lower = short : shorter -> ['short', 'lower', 'shorter', 'upper', 'longer']
low : lower = simple : simpler -> ['simple', 'lower', 'simpler', 'upper', 'simplest']
low : lower = slow : slower -> ['slow', 'lower', 'slower', 'decelerate', 'aggravate']
low : lower = small : smaller -> ['lower', 'smaller', 'small', 'larger', 'tiny']
low : lower = smart : smarter -> ['smart', 'lower', 'smarter', 'upper', 'tougher']
low : lower = strong : stronger -> ['strong', 'lower', 'stronger', 'weaker', 'upper']
low : lower = tall : taller -> ['tall', 'lower', 'taller', 'upper', 'narrower']
low : lower = tight : tighter -> ['tight', 'lower', 'tighter', 'upper', 'narrower']
low : lower = tough : tougher -> ['tough', 'lower', 'tougher', 'upper', 'harder']
low : lower = warm : warmer -> ['warm', 'lower', 'upper', 'warmer', 'drier']
low : lower = weak : weaker -> ['weak', 'lower', 'weaker', 'stronger', 'upper']
low : lower = wide : wider -> ['wide', 'lower', 'wider', 'upper', 'narrower']
low : lower = young : younger -> ['young', 'younger', 'lower', 'upper', 'older']
low : lower = bad : worse -> ['bad', 'lower', 'upper', 'uglier', 'sillier']
low : lower = big : bigger -> ['big', 'lower', 'bigger', 'upper', 'larger']
