boy : girl = brother : sister -> ['brother', 'sister', 'brother-in-law', 'stepbrother', 'sister-in-law']
man : woman = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'daughter-in-law', 'sister-in-law', 'step-daughter']
man : woman = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'father-in-law']
man : woman = boy : girl -> ['boy', 'girl', 'woman', 'schoolgirl', 'teenager']
man : woman = brother : sister -> ['brother', 'sister', 'sister-in-law', 'stepdaughter', 'brother-in-law']
man : woman = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'nephews', 'half-brothers']
man : woman = dad : mom -> ['dad', 'mom', 'grandmother', 'grandma', 'mum']
man : woman = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
man : woman = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandfather', 'mother', 'great-grandmother']
man : woman = grandpa : grandma -> ['grandpa', 'grandma', 'suzie', 'janie', 'anya']
man : woman = grandson : granddaughter -> ['grandson', 'granddaughter', 'great-granddaughter', 'great-grandson', 'daughter']
man : woman = groom : bride -> ['groom', 'bridegroom', 'grooms', 'woman', 'bride']
man : woman = he : she -> ['he', 'she', 'who', 'they', 'marji']
man : woman = his : her -> ['his', 'their', 'its', 'my', 'your']
man : woman = husband : wife -> ['husband', 'fiancé', 'spouse', 'boyfriend', 'daughter-in-law']
man : woman = king : queen -> ['king', 'queen', 'monarch', 'princess', 'norodom']
nephew : niece = policeman : policewoman -> ['policeman', 'policewoman', 'shopkeeper', 'patrolman', 'waiter']
nephew : niece = prince : princess -> ['prince', 'princess', 'duchess', 'countess', 'landgravine']
nephew : niece = son : daughter -> ['son', 'daughter', 'niece', 'granddaughter', 'stepdaughter']
nephew : niece = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'grandsons', 'nieces']
nephew : niece = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'stepdaughter', 'great-aunt', 'fiancee']
nephew : niece = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'step-father']
nephew : niece = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'sister-in-law', 'daughter-in-law', 'niece']
nephew : niece = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'grandfather']
nephew : niece = boy : girl -> ['boy', 'girl', 'schoolgirl', 'teenager', 'woman']
nephew : niece = brother : sister -> ['brother', 'sister', 'niece', 'stepdaughter', 'half-sister']
nephew : niece = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepsisters', 'stepbrothers']
nephew : niece = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'grandma']
nephew : niece = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
nephew : niece = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandmother', 'mother', 'aunt']
nephew : niece = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'anya', 'granny']
nephew : niece = grandson : granddaughter -> ['granddaughter', 'grandson', 'niece', 'daughter', 'great-granddaughter']
nephew : niece = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bride', 'housekeeper']
nephew : niece = he : she -> ['he', 'she', 'who', 'they', 'mikay']
nephew : niece = his : her -> ['his', 'their', 'my', 'its', 'your']
nephew : niece = husband : wife -> ['husband', 'fiance', 'fiancé', 'mother-in-law', 'boyfriend']
nephew : niece = king : queen -> ['king', 'queen', 'tsaritsa', 'tsarina', 'monarch']
nephew : niece = man : woman -> ['man', 'woman', 'girl', 'shepherdess', 'waif']
policeman : policewoman = prince : princess -> ['prince', 'princess', 'archduke', 'prince-elector', 'margravine']
policeman : policewoman = son : daughter -> ['son', 'grandson', 'great-great-grandson', 'stepson', 'great-grandson']
policeman : policewoman = sons : daughters -> ['sons', 'daughters', 'grandsons', 'granddaughters', 'nephews']
policeman : policewoman = stepbrother : stepsister -> ['stepbrother', 'goddaughter', 'step-daughter', 'great-aunt', 'stepsister']
policeman : policewoman = stepfather : stepmother -> ['stepfather', 'step-father', 'great-aunt', 'great-uncle', 'great-grandmother']
policeman : policewoman = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'stepbrother', 'great-uncle', 'step-daughter']
policeman : policewoman = uncle : aunt -> ['uncle', 'great-uncle', 'brother-in-law', 'father-in-law', 'grandfather']
policeman : policewoman = boy : girl -> ['boy', 'girl', 'schoolgirl', 'bellboy', 'paperboy']
policeman : policewoman = brother : sister -> ['brother', 'great-uncle', 'brother-in-law', 'stepson', 'stepbrother']
policeman : policewoman = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'brothers-in-law', 'stepbrothers']
policeman : policewoman = dad : mom -> ['dad', 'grandpa', 'flatmate', 'step-father', 'grandad']
policeman : policewoman = father : mother -> ['father', 'grandfather', 'father-in-law', 'great-uncle', 'great-aunt']
policeman : policewoman = grandfather : grandmother -> ['grandfather', 'great-uncle', 'great-grandfather', 'great-aunt', 'great-grandmother']
policeman : policewoman = grandpa : grandma -> ['grandpa', 'suzie', 'queenie', 'edwina', 'margie']
policeman : policewoman = grandson : granddaughter -> ['grandson', 'great-grandson', 'grandnephew', 'great-great-grandson', 'nephew']
policeman : policewoman = groom : bride -> ['groom', 'bridegroom', 'bridesmaid', 'footman', 'gaoler']
policeman : policewoman = he : she -> ['he', 'she', 'kagenobu', 'minakata', 'mokichi']
policeman : policewoman = his : her -> ['his', 'their', 'my', 'its', 'your']
policeman : policewoman = husband : wife -> ['husband', 'fiancé', 'fiance', 'brother-in-law', 'fiancee']
policeman : policewoman = king : queen -> ['king', 'domnitor', 'songtsän', 'wreck-it', 'tzar']
policeman : policewoman = man : woman -> ['man', 'swordswoman', 'frenchwoman', 'englishwoman', 'conman']
policeman : policewoman = nephew : niece -> ['nephew', 'great-nephew', 'half-brother', 'great-uncle', 'niece']
prince : princess = son : daughter -> ['daughter', 'son', 'granddaughter', 'stepdaughter', 'niece']
prince : princess = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'daughter', 'nieces']
prince : princess = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'stepdaughter', 'sister-in-law', 'fiancee']
prince : princess = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'fiancée', 'sister-in-law']
prince : princess = stepson : stepdaughter -> ['stepdaughter', 'sister-in-law', 'stepson', 'daughter-in-law', 'stepsister']
prince : princess = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'half-sister']
prince : princess = boy : girl -> ['boy', 'girl', 'schoolgirl', 'teenager', 'woman']
prince : princess = brother : sister -> ['brother', 'sister', 'half-sister', 'sister-in-law', 'stepdaughter']
prince : princess = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'aunts', 'stepsisters']
prince : princess = dad : mom -> ['dad', 'mom', 'grandma', 'grandmother', 'mum']
prince : princess = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'aunt']
prince : princess = grandfather : grandmother -> ['grandmother', 'grandfather', 'mother', 'aunt', 'great-grandmother']
prince : princess = grandpa : grandma -> ['grandpa', 'grandma', 'granny', 'auntie', 'grandad']
prince : princess = grandson : granddaughter -> ['granddaughter', 'grandson', 'daughter', 'stepdaughter', 'great-grandson']
prince : princess = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaid', 'housemaid']
prince : princess = he : she -> ['he', 'she', 'who', 'they', 'marji']
prince : princess = his : her -> ['his', 'their', 'its', 'my', 'your']
prince : princess = husband : wife -> ['husband', 'fiance', 'wife', 'fiancé', 'sister-in-law']
prince : princess = king : queen -> ['king', 'princess', 'queen', 'tsarina', 'infanta']
prince : princess = man : woman -> ['man', 'woman', 'girl', 'schoolgirl', 'drifter']
prince : princess = nephew : niece -> ['niece', 'nephew', 'half-sister', 'granddaughter', 'stepdaughter']
prince : princess = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'waitress', 'schoolgirl']
son : daughter = sons : daughters -> ['daughters', 'sons', 'daughter', 'granddaughters', 'grandsons']
son : daughter = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'fiancee', 'stepdaughter', 'sister-in-law']
son : daughter = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'mother-in-law', 'fiance']
son : daughter = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'sister-in-law', 'daughter-in-law', 'daughter']
son : daughter = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'mother-in-law']
son : daughter = boy : girl -> ['boy', 'girl', 'schoolgirl', 'woman', 'waitress']
son : daughter = brother : sister -> ['sister', 'brother', 'daughter', 'sister-in-law', 'stepdaughter']
son : daughter = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'aunts', 'stepsisters']
son : daughter = dad : mom -> ['dad', 'mom', 'mum', 'grandma', 'grandmother']
son : daughter = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
son : daughter = grandfather : grandmother -> ['grandfather', 'grandmother', 'aunt', 'mother', 'great-grandmother']
son : daughter = grandpa : grandma -> ['grandpa', 'grandma', 'auntie', 'granny', 'grandad']
son : daughter = grandson : granddaughter -> ['granddaughter', 'daughter', 'grandson', 'stepdaughter', 'great-granddaughter']
son : daughter = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bridesmaid', 'housemaid']
son : daughter = he : she -> ['he', 'she', 'who', 'they', 'kagenobu']
son : daughter = his : her -> ['his', 'their', 'your', 'my', 'its']
son : daughter = husband : wife -> ['husband', 'fiancé', 'fiance', 'boyfriend', 'fiancee']
son : daughter = king : queen -> ['king', 'queen', 'princess', 'monarch', 'tsarina']
son : daughter = man : woman -> ['man', 'woman', 'girl', 'divorcee', 'schoolgirl']
son : daughter = nephew : niece -> ['niece', 'nephew', 'half-sister', 'granddaughter', 'daughter']
son : daughter = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'prostitute', 'shopkeeper']
son : daughter = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'countess']
sons : daughters = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'stepdaughter', 'fiancee', 'great-aunt']
sons : daughters = stepfather : stepmother -> ['stepfather', 'stepmother', 'grandmother', 'fiancee', 'mother-in-law']
sons : daughters = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'daughter-in-law', 'sister-in-law', 'fiancee']
sons : daughters = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'great-grandmother']
sons : daughters = boy : girl -> ['boy', 'girl', 'schoolgirl', 'teenager', 'toddler']
sons : daughters = brother : sister -> ['brother', 'sister', 'half-sister', 'stepdaughter', 'sister-in-law']
sons : daughters = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'daughters', 'half-brothers']
sons : daughters = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'grandma']
sons : daughters = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
sons : daughters = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandmother', 'mother', 'aunt']
sons : daughters = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'auntie', 'suzie']
sons : daughters = grandson : granddaughter -> ['granddaughter', 'grandson', 'daughter', 'great-granddaughter', 'niece']
sons : daughters = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bridesmaid', 'housemaid']
sons : daughters = he : she -> ['he', 'she', 'who', 'kagenobu', 'marji']
sons : daughters = his : her -> ['his', 'their', 'my', 'your', 'its']
sons : daughters = husband : wife -> ['husband', 'fiancé', 'boyfriend', 'fiance', 'fiancee']
sons : daughters = king : queen -> ['king', 'queen', 'tsarina', 'tsaritsa', 'princess']
sons : daughters = man : woman -> ['man', 'woman', 'girl', 'seductress', 'shepherdess']
sons : daughters = nephew : niece -> ['nephew', 'niece', 'half-sister', 'granddaughter', 'half-brother']
sons : daughters = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'housemaid', 'militiaman']
sons : daughters = prince : princess -> ['prince', 'princess', 'landgravine', 'electress', 'margravine']
sons : daughters = son : daughter -> ['daughter', 'son', 'granddaughter', 'stepdaughter', 'grandson']
stepbrother : stepsister = stepfather : stepmother -> ['stepfather', 'stepmother', 'stepsister', 'fiance', 'mother-in-law']
stepbrother : stepsister = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'stepsister', 'daughter-in-law', 'sister-in-law']
stepbrother : stepsister = uncle : aunt -> ['uncle', 'aunt', 'grandfather', 'father-in-law', 'great-uncle']
stepbrother : stepsister = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'lad']
stepbrother : stepsister = brother : sister -> ['brother', 'stepsister', 'sister', 'stepson', 'brother-in-law']
stepbrother : stepsister = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepbrothers', 'stepsisters']
stepbrother : stepsister = dad : mom -> ['dad', 'mom', 'grandma', 'grandpa', 'mum']
stepbrother : stepsister = father : mother -> ['father', 'mother', 'grandfather', 'grandmother', 'father-in-law']
stepbrother : stepsister = grandfather : grandmother -> ['grandfather', 'grandmother', 'father', 'great-grandfather', 'great-aunt']
stepbrother : stepsister = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'granny', 'mommy']
stepbrother : stepsister = grandson : granddaughter -> ['grandson', 'granddaughter', 'son', 'great-grandson', 'great-granddaughter']
stepbrother : stepsister = groom : bride -> ['groom', 'bridegroom', 'grooms', 'spook', 'bride']
stepbrother : stepsister = he : she -> ['he', 'she', 'who', 'they', 'marji']
stepbrother : stepsister = his : her -> ['his', 'their', 'its', 'my', 'your']
stepbrother : stepsister = husband : wife -> ['husband', 'fiancé', 'fiance', 'stepsister', 'boyfriend']
stepbrother : stepsister = king : queen -> ['king', 'queen', 'monarch', 'songtsän', 'bhumibol']
stepbrother : stepsister = man : woman -> ['man', 'woman', 'girl', 'charmer', 'shepherdess']
stepbrother : stepsister = nephew : niece -> ['nephew', 'niece', 'half-brother', 'half-sister', 'grandson']
stepbrother : stepsister = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'cabbie', 'milkman']
stepbrother : stepsister = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'archduke']
stepbrother : stepsister = son : daughter -> ['son', 'daughter', 'grandson', 'granddaughter', 'stepdaughter']
stepbrother : stepsister = sons : daughters -> ['sons', 'daughters', 'grandsons', 'granddaughters', 'stepsons']
stepfather : stepmother = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'daughter-in-law', 'sister-in-law', 'stepbrother']
stepfather : stepmother = uncle : aunt -> ['uncle', 'aunt', 'stepmother', 'half-brother', 'great-uncle']
stepfather : stepmother = boy : girl -> ['boy', 'girl', 'schoolgirl', 'lad', 'waif']
stepfather : stepmother = brother : sister -> ['brother', 'sister', 'stepson', 'half-brother', 'stepbrother']
stepfather : stepmother = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepsisters', 'half-brothers']
stepfather : stepmother = dad : mom -> ['dad', 'mom', 'grandma', 'mum', 'stepmother']
stepfather : stepmother = father : mother -> ['father', 'mother', 'stepmother', 'grandfather', 'grandmother']
stepfather : stepmother = grandfather : grandmother -> ['grandfather', 'grandmother', 'stepmother', 'great-grandmother', 'great-aunt']
stepfather : stepmother = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'granny', 'auntie']
stepfather : stepmother = grandson : granddaughter -> ['grandson', 'granddaughter', 'son', 'great-grandson', 'grandnephew']
stepfather : stepmother = groom : bride -> ['groom', 'bridegroom', 'grooms', 'coachman', 'herdsman']
stepfather : stepmother = he : she -> ['he', 'she', 'who', 'they', 'censei']
stepfather : stepmother = his : her -> ['his', 'their', 'its', 'your', 'my']
stepfather : stepmother = husband : wife -> ['husband', 'stepmother', 'mother-in-law', 'daughter-in-law', 'fiancé']
stepfather : stepmother = king : queen -> ['king', 'queen', 'monarch', 'ruler', 'bhumibol']
stepfather : stepmother = man : woman -> ['man', 'woman', 'shepherdess', 'buffoon', 'waif']
stepfather : stepmother = nephew : niece -> ['nephew', 'niece', 'half-brother', 'half-sister', 'grandson']
stepfather : stepmother = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'highwayman', 'seductress']
stepfather : stepmother = prince : princess -> ['prince', 'princess', 'archduke', 'duchess', 'despot']
stepfather : stepmother = son : daughter -> ['son', 'daughter', 'grandson', 'granddaughter', 'stepdaughter']
stepfather : stepmother = sons : daughters -> ['sons', 'daughters', 'grandsons', 'granddaughters', 'nephews']
stepfather : stepmother = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'daughter-in-law', 'stepmother', 'goddaughter']
stepson : stepdaughter = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'grandfather', 'great-grandmother']
stepson : stepdaughter = boy : girl -> ['boy', 'girl', 'schoolgirl', 'teenager', 'woman']
stepson : stepdaughter = brother : sister -> ['brother', 'sister', 'stepdaughter', 'half-brother', 'half-sister']
stepson : stepdaughter = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'stepsisters', 'stepbrothers']
stepson : stepdaughter = dad : mom -> ['dad', 'mom', 'grandma', 'mum', 'grandad']
stepson : stepdaughter = father : mother -> ['father', 'mother', 'grandmother', 'grandfather', 'stepfather']
stepson : stepdaughter = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandmother', 'great-grandfather', 'father']
stepson : stepdaughter = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'granny', 'queenie']
stepson : stepdaughter = grandson : granddaughter -> ['grandson', 'granddaughter', 'great-grandson', 'stepdaughter', 'great-granddaughter']
stepson : stepdaughter = groom : bride -> ['groom', 'bridegroom', 'grooms', 'spook', 'housemaid']
stepson : stepdaughter = he : she -> ['he', 'she', 'who', 'they', 'kagenobu']
stepson : stepdaughter = his : her -> ['his', 'their', 'my', 'your', 'its']
stepson : stepdaughter = husband : wife -> ['husband', 'fiance', 'fiancé', 'boyfriend', 'fiancee']
stepson : stepdaughter = king : queen -> ['king', 'queen', 'monarch', 'tsarina', 'knave']
stepson : stepdaughter = man : woman -> ['man', 'woman', 'girl', 'shepherdess', 'loner']
stepson : stepdaughter = nephew : niece -> ['nephew', 'niece', 'stepdaughter', 'half-brother', 'half-sister']
stepson : stepdaughter = policeman : policewoman -> ['policeman', 'policewoman', 'patrolman', 'shopkeeper', 'firefighter']
stepson : stepdaughter = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'countess']
stepson : stepdaughter = son : daughter -> ['son', 'daughter', 'granddaughter', 'stepdaughter', 'grandson']
stepson : stepdaughter = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'grandsons', 'nieces']
stepson : stepdaughter = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'stepdaughter', 'great-aunt', 'step-daughter']
stepson : stepdaughter = stepfather : stepmother -> ['stepfather', 'stepmother', 'fiance', 'step-father', 'mother-in-law']
uncle : aunt = boy : girl -> ['boy', 'girl', 'schoolgirl', 'waitress', 'teenager']
uncle : aunt = brother : sister -> ['brother', 'sister', 'aunt', 'sister-in-law', 'stepdaughter']
uncle : aunt = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'aunts', 'stepsisters']
uncle : aunt = dad : mom -> ['dad', 'mom', 'mum', 'aunt', 'grandma']
uncle : aunt = father : mother -> ['mother', 'father', 'grandmother', 'aunt', 'mother-in-law']
uncle : aunt = grandfather : grandmother -> ['grandmother', 'aunt', 'grandfather', 'mother', 'mother-in-law']
uncle : aunt = grandpa : grandma -> ['grandma', 'grandpa', 'granny', 'grandad', 'auntie']
uncle : aunt = grandson : granddaughter -> ['granddaughter', 'grandson', 'daughter', 'stepdaughter', 'sister-in-law']
uncle : aunt = groom : bride -> ['groom', 'bridegroom', 'grooms', 'bride', 'bridesmaid']
uncle : aunt = he : she -> ['he', 'she', 'they', 'who', 'marji']
uncle : aunt = his : her -> ['his', 'their', 'my', 'your', 'its']
uncle : aunt = husband : wife -> ['husband', 'aunt', 'mother-in-law', 'fiance', 'fiancé']
uncle : aunt = king : queen -> ['king', 'queen', 'princess', 'tsarina', 'tsaritsa']
uncle : aunt = man : woman -> ['man', 'woman', 'girl', 'englishwoman', 'housewife']
uncle : aunt = nephew : niece -> ['niece', 'granddaughter', 'nephew', 'stepdaughter', 'sister-in-law']
uncle : aunt = policeman : policewoman -> ['policeman', 'policewoman', 'waitress', 'patrolman', 'shopkeeper']
uncle : aunt = prince : princess -> ['prince', 'princess', 'duchess', 'landgravine', 'countess']
uncle : aunt = son : daughter -> ['daughter', 'son', 'granddaughter', 'stepdaughter', 'daughter-in-law']
uncle : aunt = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'nieces', 'grandsons']
uncle : aunt = stepbrother : stepsister -> ['stepsister', 'stepbrother', 'fiancee', 'sister-in-law', 'stepdaughter']
uncle : aunt = stepfather : stepmother -> ['stepfather', 'stepmother', 'aunt', 'grandmother', 'mother-in-law']
uncle : aunt = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'sister-in-law', 'daughter-in-law', 'fiancee']
