boy : girl = brother : sister -> ['brother', 'stepbrother', 'half-brother', 'half-sister', 'niece']
man : woman = dad : mom -> ['dad', 'mom', 'mother', 'mum', 'grandmother']
man : woman = father : mother -> ['father', 'mother', 'grandmother', 'parents', 'mother-in-law']
man : woman = grandfather : grandmother -> ['grandfather', 'grandmother', 'niece', 'mother', 'father']
man : woman = grandpa : grandma -> ['grandpa', 'grandma', 'tibby', 'kaylie', 'granddad']
man : woman = grandson : granddaughter -> ['grandson', 'granddaughter', 'niece', 'nephew', 'daughter']
man : woman = groom : bride -> ['groom', 'bridegroom', 'bride', 'ladies-in-waiting', 'bride-to-be']
man : woman = he : she -> ['he', 'she', 'keckley', 'woman', 'urechia']
man : woman = his : her -> ['his', 'her', 'their', 'aegisthus', 'xyr']
man : woman = husband : wife -> ['husband', 'fianc', 'ex-husband', 'daughter-in-law', 'spouse']
man : woman = king : queen -> ['king', 'queen', 'princess', 'monarch', 'kings']
nephew : niece = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'barmaid', 'housemaid']
nephew : niece = prince : princess -> ['prince', 'princess', 'feodora', 'mrtha', 'ludovika']
nephew : niece = son : daughter -> ['daughter', 'niece', 'son', 'granddaughter', 'stepdaughter']
nephew : niece = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'half-sisters', 'niece']
nephew : niece = stepbrother : stepsister -> ['stepsister', 'step-sister', 'step-daughter', 'stepbrother', 'niece']
nephew : niece = stepfather : stepmother -> ['stepfather', 'stepmother', 'niece', 'mother-in-law', 'stepsister']
nephew : niece = stepson : stepdaughter -> ['niece', 'stepdaughter', 'stepson', 'step-daughter', 'step-sister']
nephew : niece = uncle : aunt -> ['aunt', 'uncle', 'niece', 'grandmother', 'grandma']
nephew : niece = boy : girl -> ['boy', 'girl', 'schoolgirl', 'girls', 'woman']
nephew : niece = brother : sister -> ['niece', 'brother', 'half-sister', 'sister', 'stepsister']
nephew : niece = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'daughters', 'granddaughters']
nephew : niece = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'grandma']
nephew : niece = father : mother -> ['mother', 'father', 'grandmother', 'niece', 'mother-in-law']
nephew : niece = grandfather : grandmother -> ['grandmother', 'grandfather', 'niece', 'aunt', 'mother']
nephew : niece = grandpa : grandma -> ['grandpa', 'grandma', 'trixie', 'granny', 'granddad']
nephew : niece = grandson : granddaughter -> ['niece', 'granddaughter', 'daughter', 'grandson', 'grand-daughter']
nephew : niece = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaids', 'housemaid']
nephew : niece = he : she -> ['he', 'she', 'keckley', 'skyla', 'kosilek']
nephew : niece = his : her -> ['his', 'her', 'their', 'my', 'your']
nephew : niece = husband : wife -> ['husband', 'mother-in-law', 'fianc', 'fiance', 'niece']
nephew : niece = king : queen -> ['king', 'queen', 'princess', 'kings', 'liliuokalani']
nephew : niece = man : woman -> ['man', 'woman', 'girl', 'schoolgirl', 'seductress']
policeman : policewoman = prince : princess -> ['prince', 'princess', 'hrh', 'asfaw', 'wossen']
policeman : policewoman = son : daughter -> ['son', 'daughter', 'grandson', 'nephew', 'granddaughter']
policeman : policewoman = sons : daughters -> ['sons', 'daughters', 'stepbrothers', 'stepsons', 'grandsons']
policeman : policewoman = stepbrother : stepsister -> ['stepbrother', 'step-sister', 'step-daughter', 'goddaughter', 'step-brother']
policeman : policewoman = stepfather : stepmother -> ['stepfather', 'step-father', 'step-sister', 'step-mother', 'step-daughter']
policeman : policewoman = stepson : stepdaughter -> ['stepson', 'step-daughter', 'goddaughter', 'step-son', 'stepdaughter']
policeman : policewoman = uncle : aunt -> ['uncle', 'nephew', 'aunt', 'stepbrother', 'step-sister']
policeman : policewoman = boy : girl -> ['boy', 'girl', 'policewoman', 'sixteen-year-old', 'schoolgirl']
policeman : policewoman = brother : sister -> ['brother', 'stepbrother', 'half-brother', 'step-brother', 'nephew']
policeman : policewoman = brothers : sisters -> ['brothers', 'sisters', 'brothers-in-law', 'stepbrothers', 'siblings']
policeman : policewoman = dad : mom -> ['dad', 'mom', 'mum', 'husband-to-be', 'soulmate']
policeman : policewoman = father : mother -> ['father', 'mother', 'step-father', 'grandmother', 'goddaughter']
policeman : policewoman = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandfather', 'father', 'great-aunt']
policeman : policewoman = grandpa : grandma -> ['grandpa', 'cloe', 'flatmate', 'morty', 'fatso']
policeman : policewoman = grandson : granddaughter -> ['grandson', 'granddaughter', 'nephew', 'great-grandson', 'grandniece']
policeman : policewoman = groom : bride -> ['groom', 'bridegroom', 'bride-to-be', 'bridesmaids', 'handmaiden']
policeman : policewoman = he : she -> ['he', 'she', 'lusha', 'frimpong', 'shouse']
policeman : policewoman = his : her -> ['his', 'her', 'aegisthus', 'cissie', 'branwell']
policeman : policewoman = husband : wife -> ['husband', 'fianc', 'ex-husband', 'husband-to-be', 'boyfriend']
policeman : policewoman = king : queen -> ['king', 'queen', 'ex-king', 'king-emperor', 'prempeh']
policeman : policewoman = man : woman -> ['man', 'woman', 'policewoman', 'seductress', 'redhead']
policeman : policewoman = nephew : niece -> ['nephew', 'grandson', 'granddaughter', 'niece', 'grandnephew']
prince : princess = son : daughter -> ['daughter', 'son', 'granddaughter', 'niece', 'stepdaughter']
prince : princess = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'siblings', 'daughter']
prince : princess = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'step-daughter', 'step-sister', 'stepdaughter']
prince : princess = stepfather : stepmother -> ['stepfather', 'stepmother', 'mother-in-law', 'sister-in-law', 'step-mother']
prince : princess = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'niece', 'step-daughter', 'half-sister']
prince : princess = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'grandma']
prince : princess = boy : girl -> ['boy', 'girl', 'schoolgirl', 'tomboy', 'woman']
prince : princess = brother : sister -> ['brother', 'sister', 'half-sister', 'niece', 'daughter']
prince : princess = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'daughters', 'half-sisters']
prince : princess = dad : mom -> ['dad', 'mom', 'mum', 'mother', 'grandmother']
prince : princess = father : mother -> ['mother', 'father', 'grandmother', 'mother-in-law', 'aunt']
prince : princess = grandfather : grandmother -> ['grandmother', 'grandfather', 'mother', 'niece', 'aunt']
prince : princess = grandpa : grandma -> ['grandpa', 'grandma', 'auntie', 'trixie', 'grandad']
prince : princess = grandson : granddaughter -> ['granddaughter', 'grandson', 'niece', 'daughter', 'great-granddaughter']
prince : princess = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaids', 'housemaid']
prince : princess = he : she -> ['he', 'she', 'sigyn', 'it', 'prejean']
prince : princess = his : her -> ['his', 'her', 'their', 'my', 'xyr']
prince : princess = husband : wife -> ['husband', 'mother-in-law', 'daughter-in-law', 'stepmother', 'fiance']
prince : princess = king : queen -> ['king', 'queen', 'princess', 'monarch', 'kings']
prince : princess = man : woman -> ['man', 'woman', 'girl', 'divorcee', 'wench']
prince : princess = nephew : niece -> ['niece', 'granddaughter', 'nephew', 'daughter', 'stepdaughter']
prince : princess = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'housemaid', 'milkman']
son : daughter = sons : daughters -> ['daughters', 'sons', 'daughter', 'granddaughters', 'half-sisters']
son : daughter = stepbrother : stepsister -> ['stepbrother', 'step-daughter', 'step-sister', 'sister-in-law', 'stepdaughter']
son : daughter = stepfather : stepmother -> ['stepfather', 'sister-in-law', 'stepmother', 'great-aunt', 'mother-in-law']
son : daughter = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'daughter', 'niece', 'sister-in-law']
son : daughter = uncle : aunt -> ['uncle', 'aunt', 'niece', 'grandmother', 'sister-in-law']
son : daughter = boy : girl -> ['boy', 'girl', 'schoolgirl', 'tomboy', 'housemaid']
son : daughter = brother : sister -> ['brother', 'daughter', 'niece', 'sister', 'half-sister']
son : daughter = brothers : sisters -> ['brothers', 'sisters', 'daughters', 'siblings', 'half-sisters']
son : daughter = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'mother']
son : daughter = father : mother -> ['mother', 'father', 'grandmother', 'great-aunt', 'sister-in-law']
son : daughter = grandfather : grandmother -> ['grandfather', 'grandmother', 'niece', 'granddaughter', 'sister-in-law']
son : daughter = grandpa : grandma -> ['grandpa', 'grandma', 'trixie', 'auntie', 'aunt']
son : daughter = grandson : granddaughter -> ['granddaughter', 'daughter', 'niece', 'grandson', 'great-granddaughter']
son : daughter = groom : bride -> ['groom', 'bridegroom', 'bride', 'housemaid', 'bridesmaids']
son : daughter = he : she -> ['he', 'she', 'keckley', 'keothavong', 'skyla']
son : daughter = his : her -> ['his', 'her', 'their', 'my', 'your']
son : daughter = husband : wife -> ['husband', 'sister-in-law', 'daughter-in-law', 'mother-in-law', 'fiance']
son : daughter = king : queen -> ['king', 'queen', 'princess', 'monarch', 'liliuokalani']
son : daughter = man : woman -> ['man', 'woman', 'girl', 'divorcee', 'person']
son : daughter = nephew : niece -> ['niece', 'daughter', 'granddaughter', 'nephew', 'sister-in-law']
son : daughter = policeman : policewoman -> ['policeman', 'policewoman', 'housemaid', 'barmaid', 'prostitute']
son : daughter = prince : princess -> ['prince', 'princess', 'feodora', 'ludovika', 'margravine']
sons : daughters = stepbrother : stepsister -> ['step-sister', 'stepsister', 'stepbrother', 'step-daughter', 'sister-in-law']
sons : daughters = stepfather : stepmother -> ['stepfather', 'stepmother', 'sister-in-law', 'mother-in-law', 'step-sister']
sons : daughters = stepson : stepdaughter -> ['stepdaughter', 'stepson', 'niece', 'step-daughter', 'sister-in-law']
sons : daughters = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'sister-in-law']
sons : daughters = boy : girl -> ['boy', 'girl', 'schoolgirl', 'woman', 'tomboy']
sons : daughters = brother : sister -> ['brother', 'half-sister', 'niece', 'sister-in-law', 'sister']
sons : daughters = brothers : sisters -> ['brothers', 'sisters', 'daughters', 'half-sisters', 'siblings']
sons : daughters = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'mother']
sons : daughters = father : mother -> ['mother', 'father', 'grandmother', 'aunt', 'mother-in-law']
sons : daughters = grandfather : grandmother -> ['grandmother', 'grandfather', 'aunt', 'niece', 'mother']
sons : daughters = grandpa : grandma -> ['grandpa', 'grandma', 'granddad', 'auntie', 'aunt']
sons : daughters = grandson : granddaughter -> ['granddaughter', 'niece', 'grandson', 'daughter', 'great-granddaughter']
sons : daughters = groom : bride -> ['groom', 'bridegroom', 'bride', 'bride-to-be', 'housekeeper']
sons : daughters = he : she -> ['he', 'she', 'keckley', 'kosilek', 'davydova']
sons : daughters = his : her -> ['his', 'her', 'their', 'your', 'my']
sons : daughters = husband : wife -> ['husband', 'mother-in-law', 'daughter-in-law', 'sister-in-law', 'fianc']
sons : daughters = king : queen -> ['king', 'queen', 'princess', 'monarch', 'adulyadej']
sons : daughters = man : woman -> ['man', 'woman', 'girl', 'person', 'seductress']
sons : daughters = nephew : niece -> ['niece', 'granddaughter', 'nephew', 'sister-in-law', 'daughter']
sons : daughters = policeman : policewoman -> ['policeman', 'policewoman', 'barmaid', 'prostitute', 'waitress']
sons : daughters = prince : princess -> ['prince', 'princess', 'feodora', 'vadhana', 'savang']
sons : daughters = son : daughter -> ['daughter', 'son', 'granddaughter', 'daughters', 'niece']
stepbrother : stepsister = stepfather : stepmother -> ['stepfather', 'stepsister', 'stepmother', 'mother-in-law', 'step-mother']
stepbrother : stepsister = stepson : stepdaughter -> ['stepsister', 'stepson', 'stepdaughter', 'step-daughter', 'daughter-in-law']
stepbrother : stepsister = uncle : aunt -> ['uncle', 'aunt', 'stepsister', 'grandmother', 'grandma']
stepbrother : stepsister = boy : girl -> ['boy', 'girl', 'schoolgirl', 'girls', 'wench']
stepbrother : stepsister = brother : sister -> ['brother', 'stepsister', 'half-sister', 'niece', 'sister']
stepbrother : stepsister = brothers : sisters -> ['brothers', 'sisters', 'stepsister', 'stepsisters', 'siblings']
stepbrother : stepsister = dad : mom -> ['dad', 'mom', 'mum', 'grandma', 'stepsister']
stepbrother : stepsister = father : mother -> ['father', 'mother', 'grandmother', 'stepsister', 'mother-in-law']
stepbrother : stepsister = grandfather : grandmother -> ['grandfather', 'grandmother', 'aunt', 'stepsister', 'mother']
stepbrother : stepsister = grandpa : grandma -> ['grandpa', 'grandma', 'granddad', 'auntie', 'granny']
stepbrother : stepsister = grandson : granddaughter -> ['granddaughter', 'grandson', 'niece', 'stepsister', 'great-granddaughter']
stepbrother : stepsister = groom : bride -> ['groom', 'bridegroom', 'bride', 'bridesmaids', 'bride-to-be']
stepbrother : stepsister = he : she -> ['he', 'she', 'it', 'they', 'slimmy']
stepbrother : stepsister = his : her -> ['his', 'her', 'their', 'your', 'my']
stepbrother : stepsister = husband : wife -> ['husband', 'stepsister', 'fianc', 'stepmother', 'mother-in-law']
stepbrother : stepsister = king : queen -> ['king', 'queen', 'monarch', 'princess', 'kings']
stepbrother : stepsister = man : woman -> ['man', 'woman', 'girl', 'wench', 'person']
stepbrother : stepsister = nephew : niece -> ['nephew', 'niece', 'stepsister', 'granddaughter', 'daughter-in-law']
stepbrother : stepsister = policeman : policewoman -> ['policeman', 'policewoman', 'waitress', 'schoolgirl', 'policemen']
stepbrother : stepsister = prince : princess -> ['prince', 'princess', 'princesses', 'dowager', 'duchess']
stepbrother : stepsister = son : daughter -> ['son', 'daughter', 'stepsister', 'granddaughter', 'niece']
stepbrother : stepsister = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'stepsister', 'siblings']
stepfather : stepmother = stepson : stepdaughter -> ['stepson', 'stepmother', 'stepdaughter', 'step-daughter', 'stepsister']
stepfather : stepmother = uncle : aunt -> ['uncle', 'aunt', 'stepmother', 'grandmother', 'stepsister']
stepfather : stepmother = boy : girl -> ['boy', 'girl', 'schoolgirl', 'wench', 'seductress']
stepfather : stepmother = brother : sister -> ['brother', 'stepmother', 'half-sister', 'stepsister', 'sister']
stepfather : stepmother = brothers : sisters -> ['brothers', 'sisters', 'stepsisters', 'stepmother', 'stepbrothers']
stepfather : stepmother = dad : mom -> ['dad', 'mom', 'stepmother', 'mum', 'aunt']
stepfather : stepmother = father : mother -> ['stepmother', 'father', 'mother', 'grandmother', 'mother-in-law']
stepfather : stepmother = grandfather : grandmother -> ['grandfather', 'grandmother', 'stepmother', 'aunt', 'great-aunt']
stepfather : stepmother = grandpa : grandma -> ['grandpa', 'grandma', 'smurfette', 'auntie', 'stepmother']
stepfather : stepmother = grandson : granddaughter -> ['grandson', 'granddaughter', 'great-grandson', 'niece', 'great-granddaughter']
stepfather : stepmother = groom : bride -> ['groom', 'bridegroom', 'bride', 'stepmother', 'blushing']
stepfather : stepmother = he : she -> ['he', 'she', 'it', 'cixi', 'whosoever']
stepfather : stepmother = his : her -> ['his', 'her', 'their', 'my', 'verina']
stepfather : stepmother = husband : wife -> ['husband', 'stepmother', 'mother-in-law', 'daughter-in-law', 'stepsister']
stepfather : stepmother = king : queen -> ['king', 'queen', 'kings', 'monarch', 'princess']
stepfather : stepmother = man : woman -> ['man', 'woman', 'girl', 'person', 'wench']
stepfather : stepmother = nephew : niece -> ['nephew', 'niece', 'stepmother', 'granddaughter', 'granduncle']
stepfather : stepmother = policeman : policewoman -> ['policeman', 'policewoman', 'policemen', 'seductress', 'stepmother']
stepfather : stepmother = prince : princess -> ['prince', 'princess', 'princesses', 'savang', 'empress']
stepfather : stepmother = son : daughter -> ['son', 'daughter', 'stepmother', 'granddaughter', 'niece']
stepfather : stepmother = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'nieces', 'grandsons']
stepfather : stepmother = stepbrother : stepsister -> ['stepmother', 'stepbrother', 'stepsister', 'step-mother', 'step-daughter']
stepson : stepdaughter = uncle : aunt -> ['uncle', 'grandmother', 'aunt', 'stepdaughter', 'niece']
stepson : stepdaughter = boy : girl -> ['boy', 'girl', 'schoolgirl', 'girls', 'waif']
stepson : stepdaughter = brother : sister -> ['brother', 'stepdaughter', 'stepsister', 'sister', 'half-sister']
stepson : stepdaughter = brothers : sisters -> ['brothers', 'sisters', 'siblings', 'half-sisters', 'daughters']
stepson : stepdaughter = dad : mom -> ['dad', 'mom', 'mum', 'grandmother', 'mother']
stepson : stepdaughter = father : mother -> ['father', 'mother', 'grandmother', 'stepdaughter', 'mother-in-law']
stepson : stepdaughter = grandfather : grandmother -> ['grandfather', 'grandmother', 'stepdaughter', 'mother', 'niece']
stepson : stepdaughter = grandpa : grandma -> ['grandpa', 'grandma', 'grandad', 'velma', 'smurfette']
stepson : stepdaughter = grandson : granddaughter -> ['granddaughter', 'grandson', 'stepdaughter', 'niece', 'daughter']
stepson : stepdaughter = groom : bride -> ['groom', 'bridegroom', 'bride', 'bride-to-be', 'newlyweds']
stepson : stepdaughter = he : she -> ['he', 'she', 'keckley', 'kosilek', 'oerip']
stepson : stepdaughter = his : her -> ['his', 'her', 'their', 'my', 'xyr']
stepson : stepdaughter = husband : wife -> ['husband', 'stepdaughter', 'mother-in-law', 'stepsister', 'fianc']
stepson : stepdaughter = king : queen -> ['king', 'queen', 'princess', 'kings', 'monarch']
stepson : stepdaughter = man : woman -> ['man', 'woman', 'girl', 'person', 'villager']
stepson : stepdaughter = nephew : niece -> ['stepdaughter', 'niece', 'nephew', 'granddaughter', 'daughter']
stepson : stepdaughter = policeman : policewoman -> ['policeman', 'policewoman', 'shopkeeper', 'schoolgirl', 'prostitute']
stepson : stepdaughter = prince : princess -> ['prince', 'princess', 'princesses', 'feodora', 'vadhana']
stepson : stepdaughter = son : daughter -> ['daughter', 'son', 'stepdaughter', 'granddaughter', 'niece']
stepson : stepdaughter = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'stepdaughter', 'siblings']
stepson : stepdaughter = stepbrother : stepsister -> ['stepdaughter', 'step-sister', 'stepsister', 'step-daughter', 'stepbrother']
stepson : stepdaughter = stepfather : stepmother -> ['stepfather', 'stepdaughter', 'stepmother', 'stepsister', 'step-sister']
uncle : aunt = boy : girl -> ['boy', 'girl', 'schoolgirl', 'aunt', 'woman']
uncle : aunt = brother : sister -> ['aunt', 'brother', 'grandmother', 'half-sister', 'sister-in-law']
uncle : aunt = brothers : sisters -> ['brothers', 'sisters', 'half-sisters', 'aunt', 'aunts']
uncle : aunt = dad : mom -> ['dad', 'aunt', 'mother', 'grandmother', 'mom']
uncle : aunt = father : mother -> ['mother', 'aunt', 'grandmother', 'father', 'mother-in-law']
uncle : aunt = grandfather : grandmother -> ['aunt', 'grandmother', 'mother', 'grandfather', 'great-aunt']
uncle : aunt = grandpa : grandma -> ['grandpa', 'aunt', 'grandma', 'auntie', 'grandmother']
uncle : aunt = grandson : granddaughter -> ['granddaughter', 'niece', 'aunt', 'grandson', 'great-granddaughter']
uncle : aunt = groom : bride -> ['groom', 'bridegroom', 'bride', 'aunt', 'housekeeper']
uncle : aunt = he : she -> ['he', 'she', 'aunt', 'they', 'keckley']
uncle : aunt = his : her -> ['his', 'her', 'their', 'aunt', 'lfgifu']
uncle : aunt = husband : wife -> ['husband', 'aunt', 'mother-in-law', 'stepmother', 'daughter-in-law']
uncle : aunt = king : queen -> ['king', 'queen', 'princess', 'monarch', 'kings']
uncle : aunt = man : woman -> ['man', 'woman', 'girl', 'englishwoman', 'aunt']
uncle : aunt = nephew : niece -> ['niece', 'aunt', 'granddaughter', 'sister-in-law', 'daughter-in-law']
uncle : aunt = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'housemaid', 'waitress']
uncle : aunt = prince : princess -> ['princess', 'prince', 'queen', 'princesses', 'duchess']
uncle : aunt = son : daughter -> ['daughter', 'son', 'niece', 'granddaughter', 'aunt']
uncle : aunt = sons : daughters -> ['daughters', 'granddaughters', 'sons', 'half-sisters', 'nieces']
uncle : aunt = stepbrother : stepsister -> ['step-mother', 'great-aunt', 'stepsister', 'step-sister', 'step-daughter']
uncle : aunt = stepfather : stepmother -> ['stepmother', 'stepfather', 'aunt', 'mother-in-law', 'grandmother']
uncle : aunt = stepson : stepdaughter -> ['stepdaughter', 'great-aunt', 'daughter-in-law', 'sister-in-law', 'niece']
