bad : worse = big : bigger -> ['bigger', 'larger', 'smaller', 'funnier', 'greater']
fast : faster = big : bigger -> ['bigger', 'larger', 'smaller', 'huge', 'funnier']
fast : faster = bright : brighter -> ['brighter', 'darker', 'duller', 'redder', 'whiter']
fast : faster = cheap : cheaper -> ['cheaper', 'expensive', 'inexpensive', 'bulkier', 'slower']
fast : faster = cold : colder -> ['colder', 'warmer', 'hotter', 'cooler', 'milder']
fast : faster = cool : cooler -> ['warmer', 'hotter', 'colder', 'cooler', 'calmer']
fast : faster = deep : deeper -> ['deeper', 'narrower', 'shallower', 'slower', 'thinner']
fast : faster = easy : easier -> ['easier', 'harder', 'difficult', 'simpler', 'tougher']
good : better = great : greater -> ['greater', 'bigger', 'florenz', 'greatest', 'lower']
good : better = hard : harder -> ['harder', 'easier', 'tougher', 'feverishly', 'tighter']
good : better = heavy : heavier -> ['heavier', 'tighter', 'lighter', 'tougher', 'stronger']
good : better = high : higher -> ['higher', 'lower', 'low', 'cheaper', 'precariously']
good : better = hot : hotter -> ['hotter', 'bubbling', 'cheaper', 'warmer', 'colder']
good : better = large : larger -> ['larger', 'smaller', 'bigger', 'huge', 'narrower']
good : better = long : longer -> ['longer', 'retrospectively', 'patiently', 'unquestioningly', 'loyally']
good : better = loud : louder -> ['louder', 'funnier', 'faster', 'tighter', 'tougher']
good : better = low : lower -> ['higher', 'lower', 'hotter', 'lowest', 'cheaper']
good : better = new : newer -> ['newer', 'd-new', 'female-only', 'australia-new', 'text-only']
good : better = old : older -> ['older', 'newer', 'younger', 'cheaper', 'bigger']
good : better = quick : quicker -> ['faster', 'slower', 'cheaper', 'easier', 'quicker']
good : better = safe : safer -> ['safer', 'healthier', 'cheaper', 'easier', 'happier']
good : better = sharp : sharper -> ['sharper', 'tighter', 'tougher', 'louder', 'narrower']
good : better = short : shorter -> ['shorter', 'longer', 'faster', 'narrower', 'slower']
good : better = simple : simpler -> ['simpler', 'tighter', 'user-friendly', 'cheaper', 'looser']
good : better = slow : slower -> ['slower', 'faster', 'accelerate', 'retard', 'attenuate']
good : better = small : smaller -> ['smaller', 'larger', 'bigger', 'tiny', 'narrower']
good : better = smart : smarter -> ['smarter', 'cheaper', 'healthier', 'tougher', 'tighter']
good : better = strong : stronger -> ['stronger', 'weaker', 'weak', 'tougher', 'strongest']
good : better = tall : taller -> ['taller', 'narrower', 'thinner', 'heavier', 'thick']
good : better = tight : tighter -> ['tighter', 'tougher', 'smoother', 'narrower', 'looser']
good : better = tough : tougher -> ['tougher', 'tighter', 'harder', 'stronger', 'smarter']
good : better = warm : warmer -> ['warmer', 'colder', 'hotter', 'cooler', 'drier']
good : better = weak : weaker -> ['weaker', 'stronger', 'tougher', 'tighter', 'funnier']
good : better = wide : wider -> ['wider', 'narrower', 'broader', 'tighter', 'smaller']
good : better = young : younger -> ['younger', 'older', 'smarter', 'wealthier', 'twombly']
good : better = bad : worse -> ['worse', 'funnier', 'uglier', 'dirtier', 'stronger']
good : better = big : bigger -> ['bigger', 'smaller', 'larger', 'tighter', 'smarter']
good : better = bright : brighter -> ['brighter', 'whiter', 'darker', 'richer', 'hotter']
good : better = cheap : cheaper -> ['cheaper', 'inexpensive', 'expensive', 'faster', 'affordable']
good : better = cold : colder -> ['warmer', 'colder', 'hotter', 'cooler', 'drier']
good : better = cool : cooler -> ['warmer', 'cooler', 'colder', 'hotter', 'louder']
good : better = deep : deeper -> ['deeper', 'narrower', 'deepest', 'tighter', 'head-first']
good : better = easy : easier -> ['easier', 'harder', 'faster', 'cheaper', 'tougher']
good : better = fast : faster -> ['faster', 'slower', 'smoothly', 'stealthily', 'reflexively']
great : greater = hard : harder -> ['harder', 'tougher', 'easier', 'heavier', 'difficult']
great : greater = heavy : heavier -> ['heavier', 'lighter', 'tighter', 'tougher', 'stronger']
great : greater = high : higher -> ['higher', 'lower', 'near-zero', 'ultra-high', 'broader']
great : greater = hot : hotter -> ['hotter', 'heavier', 'weaker', 'saltier', 'warmer']
great : greater = large : larger -> ['larger', 'smaller', 'bigger', 'sizable', 'sizeable']
great : greater = long : longer -> ['longer', 'shorter', 'broader', 'narrower', 'wider']
great : greater = loud : louder -> ['louder', 'heavier', 'slower', 'audible', 'stronger']
great : greater = low : lower -> ['higher', 'lower', 'steeper', 'heavier', 'weaker']
great : greater = new : newer -> ['d-new', 'broader', 'australia-new', 'larger', 'pre-county']
great : greater = old : older -> ['older', 'larger', 'weaker', 'higher', 'wider']
great : greater = quick : quicker -> ['slower', 'faster', 'tougher', 'cheaper', 'tighter']
great : greater = safe : safer -> ['safer', 'healthier', 'cheaper', 'slower', 'weaker']
great : greater = sharp : sharper -> ['sharper', 'broader', 'heavier', 'higher', 'narrower']
great : greater = short : shorter -> ['shorter', 'longer', 'broader', 'narrower', 'slower']
great : greater = simple : simpler -> ['simpler', 'broader', 'tighter', 'looser', 'bulkier']
great : greater = slow : slower -> ['slower', 'faster', 'accelerate', 'heavier', 'slows']
great : greater = small : smaller -> ['smaller', 'larger', 'bigger', 'tiny', 'sizable']
great : greater = smart : smarter -> ['smarter', 'cheaper', 'tougher', 'healthier', 'bigger']
great : greater = strong : stronger -> ['stronger', 'weaker', 'broader', 'weak', 'heavier']
great : greater = tall : taller -> ['taller', 'heavier', 'narrower', 'larger', 'higher']
great : greater = tight : tighter -> ['tighter', 'looser', 'narrower', 'broader', 'tougher']
great : greater = tough : tougher -> ['tougher', 'tighter', 'heavier', 'stronger', 'weaker']
great : greater = warm : warmer -> ['warmer', 'hotter', 'drier', 'colder', 'heavier']
great : greater = weak : weaker -> ['weaker', 'stronger', 'heavier', 'tougher', 'firmer']
great : greater = wide : wider -> ['wider', 'broader', 'narrower', 'larger', 'higher']
great : greater = young : younger -> ['younger', 'older', 'higher', 'unmarried', 'wealthier']
great : greater = bad : worse -> ['weaker', 'stronger', 'nastier', 'uglier', 'weirder']
great : greater = big : bigger -> ['bigger', 'larger', 'smaller', 'broader', 'wider']
great : greater = bright : brighter -> ['brighter', 'paler', 'redder', 'duller', 'luminous']
great : greater = cheap : cheaper -> ['cheaper', 'inexpensive', 'heavier', 'expensive', 'slower']
great : greater = cold : colder -> ['warmer', 'colder', 'hotter', 'drier', 'milder']
great : greater = cool : cooler -> ['warmer', 'hotter', 'colder', 'cooler', 'redder']
great : greater = deep : deeper -> ['deeper', 'wider', 'narrower', 'broader', 'higher']
great : greater = easy : easier -> ['easier', 'harder', 'faster', 'slower', 'difficult']
great : greater = fast : faster -> ['faster', 'slower', 'heavier', 'tighter', 'cheaper']
great : greater = good : better -> ['weaker', 'firmer', 'riskier', 'nastier', 'higher']
hard : harder = heavy : heavier -> ['heavier', 'lighter', 'tougher', 'thinner', 'deadlier']
hard : harder = high : higher -> ['higher', 'low', 'cheaper', 'noisier', 'steeper']
hard : harder = hot : hotter -> ['hotter', 'bubbling', 'tougher', 'wetter', 'heavier']
hard : harder = large : larger -> ['larger', 'smaller', 'bigger', 'huge', 'small']
hard : harder = long : longer -> ['shorter', 'longer', 'busier', 'funnier', 'tougher']
hard : harder = loud : louder -> ['louder', 'funnier', 'tougher', 'mellower', 'prettier']
hard : harder = low : lower -> ['higher', 'hotter', 'sharper', 'steeper', 'noisier']
hard : harder = new : newer -> ['d-new', 'australia-new', 'newer', '2-barrel', 'livelier']
hard : harder = old : older -> ['older', 'younger', 'tougher', 'prettier', 'sillier']
hard : harder = quick : quicker -> ['slower', 'easier', 'tougher', 'sharper', 'simpler']
hard : harder = safe : safer -> ['safer', 'healthier', 'easier', 'unsafe', 'cheaper']
hard : harder = sharp : sharper -> ['sharper', 'blacker', 'grimmer', 'graver', 'taut']
hard : harder = short : shorter -> ['shorter', 'longer', 'funnier', 'slower', 'thinner']
hard : harder = simple : simpler -> ['simpler', 'leaner', 'neat', 'neater', 'simplistic']
hard : harder = slow : slower -> ['slower', 'faster', 'slowing', 'slows', 'smoother']
hard : harder = small : smaller -> ['smaller', 'bigger', 'larger', 'tiny', 'smallish']
hard : harder = smart : smarter -> ['smarter', 'sharper', 'bolder', 'blacker', 'grimmer']
hard : harder = strong : stronger -> ['stronger', 'weak', 'weaker', 'tougher', 'sharper']
hard : harder = tall : taller -> ['taller', 'shorter', 'thick', 'thinner', 'slimmer']
hard : harder = tight : tighter -> ['tighter', 'tougher', 'looser', 'sharper', 'smoother']
hard : harder = tough : tougher -> ['tougher', 'easier', 'funnier', 'stronger', 'uglier']
hard : harder = warm : warmer -> ['warmer', 'hotter', 'colder', 'drier', 'wetter']
hard : harder = weak : weaker -> ['weaker', 'stronger', 'tougher', 'angrier', 'funnier']
hard : harder = wide : wider -> ['wider', 'narrower', 'broader', 'broad', 'bigger']
hard : harder = young : younger -> ['younger', 'dowdy', 'lusher', 'tribble', 'lazier']
hard : harder = bad : worse -> ['uglier', 'funnier', 'prettier', 'weirder', 'worse']
hard : harder = big : bigger -> ['bigger', 'smaller', 'huge', 'larger', 'funnier']
hard : harder = bright : brighter -> ['browner', 'brighter', 'sharper', 'whiter', 'blacker']
hard : harder = cheap : cheaper -> ['cheaper', 'inexpensive', 'expensive', 'affordable', 'simpler']
hard : harder = cold : colder -> ['warmer', 'hotter', 'colder', 'wetter', 'cooler']
hard : harder = cool : cooler -> ['warmer', 'hotter', 'colder', 'cooler', 'warm']
hard : harder = deep : deeper -> ['deeper', 'hotter', 'narrower', 'thinner', 'slower']
hard : harder = easy : easier -> ['easier', 'simpler', 'tougher', 'difficult', 'easiest']
hard : harder = fast : faster -> ['faster', 'slower', 'smoother', 'safer', 'cheaper']
hard : harder = good : better -> ['funnier', 'better', 'prettier', 'sillier', 'uglier']
hard : harder = great : greater -> ['greater', 'florenz', 'tremendous', 'unready', 'funnier']
heavy : heavier = high : higher -> ['higher', 'weaker', 'cheaper', 'narrower', 'noisier']
heavy : heavier = hot : hotter -> ['hotter', 'softer', 'sweeter', 'weaker', 'bulkier']
heavy : heavier = large : larger -> ['larger', 'smaller', 'bigger', 'narrower', 'bulkier']
heavy : heavier = long : longer -> ['longer', 'shorter', 'spindly', 'narrower', 'bristly']
heavy : heavier = loud : louder -> ['louder', 'sweeter', 'funnier', 'softer', 'slower']
heavy : heavier = low : lower -> ['higher', 'weaker', 'hotter', 'steeper', 'narrower']
heavy : heavier = new : newer -> ['newer', 'sturdier', 'longer-lived', 'sexier', 'bulkier']
heavy : heavier = old : older -> ['older', 'weaker', 'newer', 'younger', 'wealthier']
heavy : heavier = quick : quicker -> ['slower', 'faster', 'tougher', 'cheaper', 'funnier']
heavy : heavier = safe : safer -> ['healthier', 'safer', 'cheaper', 'friendlier', 'slower']
heavy : heavier = sharp : sharper -> ['sharper', 'sexier', 'narrower', 'softer', 'tougher']
heavy : heavier = short : shorter -> ['shorter', 'longer', 'narrower', 'slower', 'funnier']
heavy : heavier = simple : simpler -> ['simpler', 'leaner', 'softer', 'bulkier', 'sexier']
heavy : heavier = slow : slower -> ['slower', 'faster', 'smoother', 'cheaper', 'weaker']
heavy : heavier = small : smaller -> ['smaller', 'larger', 'bigger', 'tiny', 'bulkier']
heavy : heavier = smart : smarter -> ['smarter', 'leaner', 'cheaper', 'healthier', 'prettier']
heavy : heavier = strong : stronger -> ['stronger', 'weaker', 'weak', 'tougher', 'sexier']
heavy : heavier = tall : taller -> ['taller', 'narrower', 'thinner', 'slimmer', 'thicker']
heavy : heavier = tight : tighter -> ['tighter', 'narrower', 'tougher', 'looser', 'thinner']
heavy : heavier = tough : tougher -> ['tougher', 'softer', 'weaker', 'funnier', 'leaner']
heavy : heavier = warm : warmer -> ['warmer', 'hotter', 'softer', 'drier', 'colder']
heavy : heavier = weak : weaker -> ['weaker', 'stronger', 'tougher', 'softer', 'funnier']
heavy : heavier = wide : wider -> ['wider', 'narrower', 'broader', 'smaller', 'larger']
heavy : heavier = young : younger -> ['younger', 'older', 'wealthier', 'middle-aged', 'lazier']
heavy : heavier = bad : worse -> ['funnier', 'uglier', 'weaker', 'dirtier', 'sweeter']
heavy : heavier = big : bigger -> ['bigger', 'smaller', 'larger', 'funnier', 'deadlier']
heavy : heavier = bright : brighter -> ['brighter', 'whiter', 'fainter', 'richer', 'lighter']
heavy : heavier = cheap : cheaper -> ['cheaper', 'inexpensive', 'softer', 'leaner', 'slower']
heavy : heavier = cold : colder -> ['warmer', 'hotter', 'colder', 'cooler', 'softer']
heavy : heavier = cool : cooler -> ['warmer', 'hotter', 'softer', 'cooler', 'colder']
heavy : heavier = deep : deeper -> ['deeper', 'narrower', 'softer', 'slower', 'weaker']
heavy : heavier = easy : easier -> ['easier', 'harder', 'slower', 'tougher', 'cheaper']
heavy : heavier = fast : faster -> ['faster', 'slower', 'smoother', 'quieter', 'cheaper']
heavy : heavier = good : better -> ['funnier', 'better', 'sillier', 'weaker', 'nastier']
heavy : heavier = great : greater -> ['greater', 'funnier', 'sillier', 'bigger', 'nastier']
heavy : heavier = hard : harder -> ['harder', 'tougher', 'softer', 'slower', 'cheaper']
high : higher = hot : hotter -> ['hotter', 'tougher', 'heavier', 'nastier', 'healthier']
high : higher = large : larger -> ['larger', 'smaller', 'bigger', 'sizable', 'sizeable']
high : higher = long : longer -> ['longer', 'shorter', 'narrower', 'spindly', 'broader']
high : higher = loud : louder -> ['louder', 'funnier', 'tougher', 'slower', 'dirtier']
high : higher = low : lower -> ['lower', 'lowest', 'steeper', 'weaker', 'fewer']
high : higher = new : newer -> ['d-new', 'australia-new', 'longer-lived', 'newer', 'higher-priced']
high : higher = old : older -> ['older', 'younger', 'nastier', 'longer-lived', 'larger']
high : higher = quick : quicker -> ['slower', 'tougher', 'faster', 'funnier', 'smarter']
high : higher = safe : safer -> ['safer', 'healthier', 'friendlier', 'cheaper', 'slower']
high : higher = sharp : sharper -> ['sharper', 'tougher', 'sharpest', 'blacker', 'graver']
high : higher = short : shorter -> ['shorter', 'longer', 'slower', 'narrower', 'lengthier']
high : higher = simple : simpler -> ['simpler', 'leaner', 'nastier', 'riskier', 'sillier']
high : higher = slow : slower -> ['slower', 'faster', 'slowing', 'slows', 'quicker']
high : higher = small : smaller -> ['smaller', 'larger', 'bigger', 'tiny', 'smallish']
high : higher = smart : smarter -> ['smarter', 'healthier', 'tougher', 'cleverer', 'leaner']
high : higher = strong : stronger -> ['stronger', 'weaker', 'weak', 'tougher', 'rebuttable']
high : higher = tall : taller -> ['taller', 'narrower', 'larger', 'heavier', 'smaller']
high : higher = tight : tighter -> ['tighter', 'tougher', 'narrower', 'looser', 'firmer']
high : higher = tough : tougher -> ['tougher', 'harder', 'tighter', 'stronger', 'funnier']
high : higher = warm : warmer -> ['warmer', 'hotter', 'colder', 'healthier', 'drier']
high : higher = weak : weaker -> ['weaker', 'stronger', 'tougher', 'longer-lived', 'nastier']
high : higher = wide : wider -> ['wider', 'narrower', 'broader', 'larger', 'smaller']
high : higher = young : younger -> ['younger', 'older', 'middle-aged', 'wealthier', 'elderly']
high : higher = bad : worse -> ['uglier', 'worse', 'sillier', 'nastier', 'funnier']
high : higher = big : bigger -> ['bigger', 'larger', 'smaller', 'greater', 'nastier']
high : higher = bright : brighter -> ['brighter', 'whiter', 'sharper', 'fainter', 'luminous']
high : higher = cheap : cheaper -> ['cheaper', 'inexpensive', 'riskier', 'slower', 'tougher']
high : higher = cold : colder -> ['warmer', 'colder', 'hotter', 'milder', 'harsher']
high : higher = cool : cooler -> ['warmer', 'hotter', 'colder', 'cooler', 'healthier']
high : higher = deep : deeper -> ['deeper', 'deepest', 'narrower', 'slower', 'wider']
high : higher = easy : easier -> ['easier', 'harder', 'tougher', 'slower', 'difficult']
high : higher = fast : faster -> ['faster', 'slower', 'rapidly', 'healthier', 'tougher']
high : higher = good : better -> ['better', 'funnier', 'sillier', 'nastier', 'cleverer']
high : higher = great : greater -> ['greater', 'florenz', 'sillier', 'uttermost', 'tremendous']
high : higher = hard : harder -> ['harder', 'tougher', 'easier', 'slower', 'difficult']
high : higher = heavy : heavier -> ['heavier', 'tougher', 'tighter', 'lighter', 'deadlier']
hot : hotter = large : larger -> ['smaller', 'larger', 'bigger', 'fainter', 'bulkier']
hot : hotter = long : longer -> ['shorter', 'longer', 'quieter', 'steeper', 'fatter']
hot : hotter = loud : louder -> ['louder', 'sweeter', 'fatter', 'swifter', 'funnier']
hot : hotter = low : lower -> ['steeper', 'colder', 'higher', 'shallower', 'wetter']
hot : hotter = new : newer -> ['grander', 'quieter', 'sturdier', 'nobler', 'rougher']
hot : hotter = old : older -> ['older', 'fatter', 'cleverer', 'quieter', 'prettier']
hot : hotter = quick : quicker -> ['quicker', 'swifter', 'smoother', 'smarter', 'slower']
hot : hotter = safe : safer -> ['safer', 'healthier', 'swifter', 'quieter', 'quicker']
hot : hotter = sharp : sharper -> ['sharper', 'fatter', 'blacker', 'fainter', 'bolder']
hot : hotter = short : shorter -> ['shorter', 'steeper', 'thinner', 'fainter', 'quieter']
hot : hotter = simple : simpler -> ['simpler', 'leaner', 'neater', 'swifter', 'fatter']
hot : hotter = slow : slower -> ['slower', 'quicker', 'faster', 'smoother', 'quieter']
hot : hotter = small : smaller -> ['smaller', 'slimmer', 'larger', 'bulkier', 'fainter']
hot : hotter = smart : smarter -> ['smarter', 'greener', 'braver', 'bolder', 'fatter']
hot : hotter = strong : stronger -> ['stronger', 'weaker', 'sharper', 'fatter', 'swifter']
hot : hotter = tall : taller -> ['taller', 'thicker', 'steeper', 'denser', 'slimmer']
hot : hotter = tight : tighter -> ['tighter', 'thicker', 'steeper', 'rougher', 'smoother']
hot : hotter = tough : tougher -> ['tougher', 'fatter', 'smarter', 'tighter', 'calmer']
hot : hotter = warm : warmer -> ['warmer', 'colder', 'wetter', 'drier', 'calmer']
hot : hotter = weak : weaker -> ['weaker', 'fatter', 'steeper', 'fainter', 'redder']
hot : hotter = wide : wider -> ['wider', 'narrower', 'shallower', 'steeper', 'thicker']
hot : hotter = young : younger -> ['younger', 'smarter', 'blacker', 'greener', 'fainter']
hot : hotter = bad : worse -> ['weirder', 'sweeter', 'fatter', 'prettier', 'uglier']
hot : hotter = big : bigger -> ['bigger', 'fainter', 'fatter', 'smarter', 'slimmer']
hot : hotter = bright : brighter -> ['brighter', 'whiter', 'fainter', 'browner', 'redder']
hot : hotter = cheap : cheaper -> ['cheaper', 'quieter', 'fatter', 'thinner', 'leaner']
hot : hotter = cold : colder -> ['colder', 'warmer', 'cooler', 'wetter', 'milder']
hot : hotter = cool : cooler -> ['colder', 'warmer', 'cooler', 'calmer', 'wetter']
hot : hotter = deep : deeper -> ['deeper', 'shallower', 'steeper', 'rougher', 'colder']
hot : hotter = easy : easier -> ['easier', 'quicker', 'quieter', 'smarter', 'smoother']
hot : hotter = fast : faster -> ['faster', 'slower', 'quieter', 'quicker', 'smoother']
hot : hotter = good : better -> ['weirder', 'funnier', 'prettier', 'cleverer', 'calmer']
hot : hotter = great : greater -> ['swifter', 'finer', 'greater', 'weirder', 'nobler']
hot : hotter = hard : harder -> ['harder', 'rougher', 'fatter', 'trickier', 'quieter']
hot : hotter = heavy : heavier -> ['heavier', 'thinner', 'denser', 'lighter', 'fatter']
hot : hotter = high : higher -> ['higher', 'steeper', 'low', 'fainter', 'fatter']
large : larger = long : longer -> ['longer', 'shorter', 'broader', 'narrower', 'spindly']
large : larger = loud : louder -> ['louder', 'funnier', 'tougher', 'sweeter', 'dirtier']
large : larger = low : lower -> ['higher', 'weaker', 'lower', 'hotter', 'narrower']
large : larger = new : newer -> ['newer', 'd-new', 'then-current', 'brand-new', 'livelier']
large : larger = old : older -> ['older', 'newer', 'younger', 'weaker', 'nastier']
large : larger = quick : quicker -> ['slower', 'tougher', 'funnier', 'deadlier', 'faster']
large : larger = safe : safer -> ['safer', 'healthier', 'friendlier', 'cheaper', 'weaker']
large : larger = sharp : sharper -> ['sharper', 'tougher', 'broader', 'deadlier', 'narrower']
large : larger = short : shorter -> ['shorter', 'longer', 'narrower', 'weaker', 'lengthier']
large : larger = simple : simpler -> ['simpler', 'leaner', 'looser', 'nastier', 'bulkier']
large : larger = slow : slower -> ['slower', 'faster', 'weaker', 'tougher', 'smoother']
large : larger = small : smaller -> ['smaller', 'bigger', 'tiny', 'smallish', 'narrower']
large : larger = smart : smarter -> ['smarter', 'tougher', 'healthier', 'prettier', 'leaner']
large : larger = strong : stronger -> ['stronger', 'weaker', 'tougher', 'weak', 'broader']
large : larger = tall : taller -> ['taller', 'narrower', 'heavier', 'slimmer', 'smaller']
large : larger = tight : tighter -> ['tighter', 'tougher', 'looser', 'narrower', 'firmer']
large : larger = tough : tougher -> ['tougher', 'stronger', 'weaker', 'harder', 'funnier']
large : larger = warm : warmer -> ['warmer', 'hotter', 'colder', 'drier', 'friendlier']
large : larger = weak : weaker -> ['weaker', 'stronger', 'tougher', 'deadlier', 'nastier']
large : larger = wide : wider -> ['wider', 'broader', 'narrower', 'smaller', 'bigger']
large : larger = young : younger -> ['younger', 'older', 'middle-aged', 'wealthier', 'youngest']
large : larger = bad : worse -> ['weaker', 'uglier', 'nastier', 'funnier', 'better']
large : larger = big : bigger -> ['bigger', 'smaller', 'deadlier', 'nastier', 'funnier']
large : larger = bright : brighter -> ['brighter', 'whiter', 'richer', 'redder', 'bluer']
large : larger = cheap : cheaper -> ['cheaper', 'inexpensive', 'tougher', 'deadlier', 'healthier']
large : larger = cold : colder -> ['warmer', 'colder', 'hotter', 'cooler', 'calmer']
large : larger = cool : cooler -> ['warmer', 'hotter', 'colder', 'calmer', 'cooler']
large : larger = deep : deeper -> ['deeper', 'narrower', 'wider', 'deepest', 'weaker']
large : larger = easy : easier -> ['easier', 'harder', 'tougher', 'easiest', 'slower']
large : larger = fast : faster -> ['faster', 'slower', 'tougher', 'heavier', 'quieter']
large : larger = good : better -> ['better', 'funnier', 'nastier', 'sillier', 'weaker']
large : larger = great : greater -> ['greater', 'livelier', 'bigger', 'better', 'nastier']
large : larger = hard : harder -> ['harder', 'tougher', 'easier', 'softer', 'heavier']
large : larger = heavy : heavier -> ['heavier', 'lighter', 'tougher', 'deadlier', 'bulkier']
large : larger = high : higher -> ['higher', 'weaker', 'smaller', 'steadier', 'nastier']
large : larger = hot : hotter -> ['hotter', 'tougher', 'weaker', 'bubbling', 'heavier']
long : longer = loud : louder -> ['louder', 'funnier', 'dirtier', 'noisier', 'scarier']
long : longer = low : lower -> ['higher', 'lower', 'noisier', 'near-zero', 'hotter']
long : longer = new : newer -> ['d-new', '2-barrel', 'newly-created', 'intel-based', 'higher-priced']
long : longer = old : older -> ['older', 'longer-lived', 'sillier', 'nastier', 'weaker']
long : longer = quick : quicker -> ['slower', 'faster', 'funnier', 'tougher', 'noisier']
long : longer = safe : safer -> ['safer', 'healthier', 'cheaper', 'happier', 'friendlier']
long : longer = sharp : sharper -> ['sharper', 'sharpest', 'noisier', 'tougher', 'sexier']
long : longer = short : shorter -> ['shorter', 'lengthier', 'funnier', 'slower', 'noisier']
long : longer = simple : simpler -> ['simpler', 'superscalar', 'noisier', 'utilitarian', 'bulkier']
long : longer = slow : slower -> ['slower', 'faster', 'slowing', 'noisier', 'slows']
long : longer = small : smaller -> ['smaller', 'larger', 'tiny', 'smallish', 'longer-lived']
long : longer = smart : smarter -> ['smarter', 'cheaper', 'cleverer', 'healthier', 'noisier']
long : longer = strong : stronger -> ['stronger', 'weaker', 'weak', 'firmer', 'oppose-']
long : longer = tall : taller -> ['taller', 'heavier', 'bulkier', 'slimmer', 'narrower']
long : longer = tight : tighter -> ['tighter', 'looser', 'tougher', 'firmer', 'narrower']
long : longer = tough : tougher -> ['tougher', 'funnier', 'harder', 'scarier', 'softer']
long : longer = warm : warmer -> ['warmer', 'drier', 'hotter', 'colder', 'softer']
long : longer = weak : weaker -> ['weaker', 'stronger', 'tougher', 'longer-lived', 'funnier']
long : longer = wide : wider -> ['wider', 'narrower', 'broader', 'larger', 'smaller']
long : longer = young : younger -> ['younger', 'middle-aged', 'older', 'able-bodied', 'scantily-clad']
long : longer = bad : worse -> ['funnier', 'uglier', 'sillier', 'dirtier', 'nastier']
long : longer = big : bigger -> ['bigger', 'larger', 'smaller', 'funnier', 'sillier']
long : longer = bright : brighter -> ['brighter', 'whiter', 'luminous', 'semi-transparent', 'fainter']
long : longer = cheap : cheaper -> ['cheaper', 'inexpensive', 'expensive', 'noisier', 'disposable']
long : longer = cold : colder -> ['warmer', 'colder', 'hotter', 'drier', 'cooler']
long : longer = cool : cooler -> ['warmer', 'hotter', 'colder', 'cooler', 'warm']
long : longer = deep : deeper -> ['deeper', 'head-first', 'deepest', 'narrower', 'slower']
long : longer = easy : easier -> ['easier', 'harder', 'easiest', 'tougher', 'slower']
long : longer = fast : faster -> ['faster', 'slower', 'googly', 'cheaper', 'heavier']
long : longer = good : better -> ['funnier', 'sillier', 'better', 'nastier', 'happier']
long : longer = great : greater -> ['greater', 'florenz', 'tremendous', 'sillier', 'marvellous']
long : longer = hard : harder -> ['harder', 'tougher', 'easier', 'softer', 'funnier']
long : longer = heavy : heavier -> ['heavier', 'lighter', 'noisier', 'bulkier', 'deadlier']
long : longer = high : higher -> ['higher', 'ultra-high', 'near-zero', 'above-average', 'ultra-low']
long : longer = hot : hotter -> ['hotter', 'bubbling', 'hottest', 'heatseekers', 'softer']
long : longer = large : larger -> ['larger', 'smaller', 'bigger', 'sizable', 'huge']
loud : louder = low : lower -> ['higher', 'hotter', 'steeper', 'shallower', 'lower']
loud : louder = new : newer -> ['d-new', 'australia-new', 'york-new', 'all-new', 'nieuw']
loud : louder = old : older -> ['older', 'plainer', 'cleverer', 'busier', 'olde']
loud : louder = quick : quicker -> ['smarter', 'quicker', 'slower', 'cleverer', 'fatter']
loud : louder = safe : safer -> ['healthier', 'safer', 'friendlier', 'cheaper', 'smarter']
loud : louder = sharp : sharper -> ['sharper', 'bolder', 'blacker', 'finer', 'fatter']
loud : louder = short : shorter -> ['shorter', 'narrower', 'thinner', 'lengthier', 'busier']
loud : louder = simple : simpler -> ['simpler', 'looser', 'bulkier', 'plainer', 'softer']
loud : louder = slow : slower -> ['slower', 'faster', 'slows', 'quicker', 'quieter']
loud : louder = small : smaller -> ['smaller', 'tiny', 'larger', 'bulkier', 'slimmer']
loud : louder = smart : smarter -> ['smarter', 'bolder', 'cleverer', 'dumber', 'ruder']
loud : louder = strong : stronger -> ['stronger', 'weaker', 'weak', 'firmer', 'tighter']
loud : louder = tall : taller -> ['taller', 'slimmer', 'thicker', 'fatter', 'narrower']
loud : louder = tight : tighter -> ['tighter', 'looser', 'thicker', 'narrower', 'fatter']
loud : louder = tough : tougher -> ['tougher', 'tighter', 'smarter', 'softer', 'fatter']
loud : louder = warm : warmer -> ['warmer', 'colder', 'hotter', 'drier', 'softer']
loud : louder = weak : weaker -> ['weaker', 'stronger', 'cleverer', 'bulkier', 'looser']
loud : louder = wide : wider -> ['wider', 'narrower', 'broader', 'shallower', 'steeper']
loud : louder = young : younger -> ['younger', 'older', 'ruder', 'middle-aged', 'freeborn']
loud : louder = bad : worse -> ['weirder', 'dumber', 'sweeter', 'cleverer', 'dirtier']
loud : louder = big : bigger -> ['bigger', 'smarter', 'weirder', 'cleverer', 'fatter']
loud : louder = bright : brighter -> ['brighter', 'whiter', 'darker', 'duller', 'redder']
loud : louder = cheap : cheaper -> ['cheaper', 'inexpensive', 'softer', 'bulkier', 'sweeter']
loud : louder = cold : colder -> ['colder', 'hotter', 'warmer', 'milder', 'cooler']
loud : louder = cool : cooler -> ['hotter', 'colder', 'warmer', 'cooler', 'calmer']
loud : louder = deep : deeper -> ['deeper', 'shallower', 'narrower', 'hotter', 'rougher']
loud : louder = easy : easier -> ['easier', 'harder', 'smarter', 'sweeter', 'quieter']
loud : louder = fast : faster -> ['faster', 'slower', 'quieter', 'smarter', 'hotter']
